B-003-014-004;Why might a dummy antenna get warm when in use?;Because it changes RF energy into heat;Because it absorbs static electricity;Because it stores radio waves;Because it stores electric current;Pourquoi une antenne fictive peut-elle chauffer lorsqu'on l'utilise?;Parce qu'elle transforme l'énergie RF en chaleur;Parce qu'elle absorbe l'électricité statique;Parce qu'elle emmagasine les ondes radio;Parce qu'elle emmagasine le courant électrique
B-003-015-011;With a digital communication mode based on a computer sound card, what is the result of feeding too much audio in the transceiver?;Splatter or out-of-channel emissions;Higher signal-to-noise ratio;Lower error rate;Power amplifier overheating;Lorsqu'un ordinateur et une carte audio sont utilisés pour communiquer en mode numérique, qu'advient-il si le niveau audio vers l'émetteur-récepteur est trop élevé?;Un élargissement des bandes latérales ("splatter") ou des émissions hors canal;Un rapport signal sur bruit plus élevé;Un taux d'erreur plus bas;Une surchauffe de l'amplificateur de puissance
B-003-016-001;How much voltage does a standard automobile battery usually supply?;About 12 volts;About 240 volts;About 120 volts;About 9 volts;Quel voltage est fourni par une batterie ordinaire d'automobile?;Environ 12 volts;Environ 240 volts;Environ 120 volts;Environ 9 volts
B-003-016-002;Which component has a positive and a negative side?;A battery;A potentiometer;A fuse;A resistor;Quel composant possède un pôle positif et un pôle négatif?;Une batterie;Un potentiomètre;Un fusible;Une résistance
B-003-016-003;A cell, that can be repeatedly recharged by supplying it with electrical energy, is known as a:;storage cell;low leakage cell;memory cell;primary cell;Une pile, qui peut être rechargée avec de l'énergie électrique de manière répétée, est :;un accumulateur;une cellule à faibles fuites;une cellule de mémoire;une pile primaire
B-003-016-004;Which of the following is a source of electromotive force (EMF)?;lithium-ion battery;germanium diode;P channel FET;carbon resistor;Lequel des dispositifs suivants est une source de force électromotrice (f.é.m.)?;Une batterie lithium-ion;Une diode au germanium;Un transistor à effet de champ à canal P;Une résistance au carbone
B-003-016-005;An important difference between a conventional flashlight battery and a lead acid battery is that only the lead acid battery:;can be repeatedly recharged;has two terminals;can be completely discharged;contains an electrolyte;Une différence importante entre une pile de lampe de poche conventionnelle et une batterie d'accumulateur au plomb est que seule la batterie d'accumulateur au plomb :;peut être rechargée plusieurs fois;comporte deux bornes;peut être complètement déchargée;contient un électrolyte
B-003-016-006;An alkaline cell has a nominal voltage of 1.5 volts. When supplying a great deal of current, the voltage may drop to 1.2 volts. This is caused by the cell's:;internal resistance;electrolyte becoming dry;current capacity;voltage capacity;Une pile alcaline a une tension nominale de 1,5 volt. Lorsque cette pile débite un courant important, la tension peut tomber à 1,2 V. Cette chute de tension est provoquée par :;sa résistance interne;l'assèchement de son électrolyte;sa capacité en courant;sa capacité en tension
B-003-016-007;An inexpensive primary cell in use today is the carbon-zinc or flashlight cell. This type of cell can be recharged:;never;twice;many times;once;La pile carbone-zinc (pile pour lampe de poche) est une pile primaire peu dispendieuse. Combien de fois ce type de pile peut-elle être rechargée?;Jamais;Deux fois;Plusieurs fois;Une fois
B-003-016-008;Battery capacity is commonly stated as a value of current delivered over a specified period of time. What is the effect of exceeding that specified current?;A battery charge will not last as long;The internal resistance of the cell is short-circuited;The battery will accept the subsequent charge in shorter time;The voltage delivered will be higher;La capacité des batteries est caractérisée en termes d'un courant spécifique disponible pour un intervalle de temps donné. Qu'advient-il si on excède cette valeur de courant?;La charge ne pourra pas être utilisée aussi longtemps;La résistance interne est court-circuitée;La batterie pourra être rechargée plus rapidement la fois suivante;La tension fournie est plus élevée
B-003-016-009;To increase the current capacity of a cell, several cells should be connected in:;parallel;series;parallel resonant;series resonant;Pour augmenter le courant disponible d'une pile, on peut associer plusieurs piles :;en parallèle;en série;en résonance parallèle;en résonance série
B-003-016-010;To increase the voltage output, several cells are connected in:;series;parallel;series-parallel;resonance;Pour augmenter la tension fournie par une pile, on peut associer plusieurs piles :;en série;en parallèle;en série-parallèle;en résonance
B-003-016-011;A lithium-ion battery should never be:;short-circuited;recharged;left disconnected;left overnight at room temperature;Une batterie lithium-ion ne doit jamais être :;court-circuitée;rechargée;laissée débranchée;laissée toute la nuit à la température de la pièce
B-003-017-001;If your mobile transceiver works in your car but not in your home, what should you check first?;The power supply;The speaker;The microphone;The SWR meter;Si votre émetteur mobile fonctionne bien dans votre auto, mais ne fonctionne pas dans votre local radio, que devez-vous d'abord vérifier?;Le bloc d'alimentation;Le haut-parleur;Le microphone;Le ROS-mètre
B-003-017-002;What device converts household current to 12 volts DC?;A power supply;A low pass filter;An RS-232 interface;A catalytic converter;Qu'utilise-t-on pour convertir le courant domestique de 120 volts à 12 volts en courant continu?;Un bloc d'alimentation;Un filtre passe-bas;Une interface RS-232;Un convertisseur catalytique
B-003-017-003;Which of these usually needs a high current capacity power supply?;A transceiver;An antenna switch;A receiver;An SWR meter;Lequel de ces appareils a besoin d'un bloc d'alimentation capable de débiter un fort courant?;Un émetteur-récepteur;Un commutateur d'antenne;Un récepteur;Un ROS-mètre
B-003-017-004;What may cause a buzzing or hum in the signal of an AC-powered transmitter?;A bad filter capacitor in the transmitter's power supply;Using an antenna which is the wrong length;Energy from another transmitter;Bad design of the transmitter's RF power output circuit;Quelle serait la cause d'un bourdonnement ("hum") sur le signal d'un émetteur fonctionnant sur courant domestique alternatif?;Un condensateur de filtrage inadéquat dans le bloc d'alimentation de l'émetteur;L'utilisation d'une antenne dont la longueur n'est pas appropriée;L'énergie provenant d'un autre émetteur;Une conception déficiente du circuit de sortie de l'amplificateur RF de l'émetteur
B-003-017-005;A power supply is to supply DC at 12 volts at 5 amperes. The power transformer should be rated higher than:;60 watts;17 watts;2.4 watts;6 watts;Un bloc d'alimentation doit fournir un courant de 5 ampères sous 12 volts CC. Son transformateur doit avoir une puissance nominale supérieure à :;60 watts;17 watts;2,4 watts;6 watts
B-003-017-006;The diode is an important part of a simple power supply. It converts AC to DC, since it:;allows electrons to flow in only one direction from cathode to anode;has a high resistance to AC but not to DC;has a high resistance to DC but not to AC;allows electrons to flow in only one direction from anode to cathode;La diode est un élément important d'un bloc d'alimentation élémentaire. Elle convertit le courant alternatif en courant continu, car elle :;permet aux électrons de se déplacer de la cathode à l'anode;présente une résistance élevée pour le courant alternatif et faible pour le courant continu;présente une résistance élevée pour le courant continu et faible pour le courant alternatif;permet aux électrons de se déplacer de l'anode à la cathode
B-003-017-007;To convert AC to pulsating DC, you could use a:;diode;transformer;capacitor;resistor;Pour convertir un courant alternatif en un courant continu pulsatif, on peut utiliser :;une diode;un transformateur;un condensateur;une résistance
B-003-017-008;Power-line voltages have been made standard over the years and the voltages generally supplied to homes are approximately:;120 and 240 volts;110 and 220 volts;100 and 200 volts;130 and 260 volts;Les tensions du courant domestique ont été normalisées au cours des années. De nos jours, les tensions fournies aux résidences sont, en général :;120 et 240 volts;110 et 220 volts;100 et 200 volts;130 et 260 volts
B-003-017-009;Your mobile HF transceiver draws 22 amperes on transmit. The manufacturer suggests limiting voltage drop to 0.5 volt and the vehicle battery is 3 metres (10 feet) away. Given the losses below at that current, which minimum wire gauge must you use?;Number 10, 0.07 V per metre (0.02 V per foot);Number 14, 0.19 V per metre (0.06 V per foot);Number 12, 0.11 V per metre (0.03 V per foot);Number 8, 0.05 V per metre (0.01 V per foot);Votre émetteur-récepteur HF mobile exige 22 ampères en mode émission. Le manufacturier suggère de limiter la chute de tension sur l'alimentation à 0.5 volt et la distance jusqu'à la batterie est de 3 mètres (10 pieds). Selon les pertes montrées ci-dessous à cette valeur de courant, quel calibre minimal de fil devez-vous utiliser?;Numéro 10, 0.07 V par mètre (0.02 V par pied);Numéro 14, 0.19 V par mètre (0.06 V par pied);Numéro 12, 0.11 V par mètre (0.03 V par pied);Numéro 8, 0.05 V par mètre (0.01 V par pied)
B-003-017-010;Why are fuses needed as close as possible to the vehicle battery when wiring a transceiver directly to the battery?;To prevent an overcurrent situation from starting a fire;To prevent interference to the vehicle's electronic systems;To reduce the voltage drop in the radio's DC supply;To protect the radio from transient voltages;Vous installez un émetteur-récepteur dans votre véhicule. Pourquoi des fusibles sont-ils requis dans le câble d'alimentation de l'appareil aussi près de la batterie que possible?;Prévenir qu'une surintensité donne naissance à un feu;Prévenir l'interférence aux systèmes électroniques du véhicule;Réduire la chute de tension dans l'alimentation CC de l'appareil;Protéger l'appareil des surtensions
B-003-017-011;You have a very loud low-frequency hum appearing on your transmission. In what part of the transmitter would you first look for the trouble?;The power supply;The variable-frequency oscillator;The driver circuit;The power amplifier circuit;On vous rapporte un bourdonnement ("hum") très fort, à basse fréquence, sur votre signal. Dans quelle partie de l'émetteur chercheriez-vous d'abord la cause de ce bourdonnement?;Dans le bloc d'alimentation;Dans l'oscillateur à fréquence variable;Dans le circuit d'attaque;Dans l'amplificateur de puissance
B-003-018-001;How could you best keep unauthorized persons from using your amateur station at home?;Use a key-operated on/off switch in the main power line;Use a carrier-operated relay in the main power line;Put a "Danger - High Voltage" sign in the station;Put fuses in the main power line;Quel est le meilleur moyen d'empêcher qu'une personne non autorisée utilise votre émetteur radio à votre domicile?;Insérer un interrupteur à clé dans l'alimentation électrique;Insérer un relais activé par porteuse dans l'alimentation électrique;Placer un écriteau dans la station : "Danger, haut voltage";Placer des fusibles dans l'alimentation électrique
B-003-018-002;How could you best keep unauthorized persons from using a mobile amateur station in your car?;Disconnect the microphone when you are not using it;Tune the radio to an unused frequency when you are done using it;Turn the radio off when you are not using it;Put a "Do not touch" sign on the radio;Quel est le meilleur moyen d'empêcher qu'une personne non autorisée utilise votre appareil mobile dans votre auto?;Enlever le microphone lorsque vous ne l'utilisez pas;Syntoniser l'appareil sur une fréquence inutilisée lorsque vous avez terminé de vous en servir;Fermer la radio lorsque vous ne l'utilisez pas;Mettre un écriteau sur le radio : "Ne touchez pas"
B-003-018-003;Why would you use a key-operated on/off switch in the main power line of your station?;To keep unauthorized persons from using your station;For safety, in case the main fuses fail;To keep the power company from turning off your electricity during an emergency;For safety, to turn off the station in the event of an emergency;Quel est l'avantage d'utiliser un interrupteur à clé dans l'alimentation électrique de votre émetteur?;Pour empêcher une personne non autorisée de s'en servir;Pour plus de sécurité en cas de défectuosité du fusible principal;Pour éviter que votre fournisseur d'électricité ne coupe l'électricité durant une période d'urgence;Pour plus de sécurité. Ça permet de mettre la station hors service en cas d'urgence
B-003-018-004;Why would there be a switch in a high-voltage power supply to turn off the power if its cabinet is opened?;To keep anyone opening the cabinet from getting shocked by dangerous high voltages;To keep dangerous RF radiation from leaking out through an open cabinet;To keep dangerous RF radiation from coming in through an open cabinet;To turn the power supply off when it is not being used;Pourquoi un bloc d'alimentation de haut voltage serait-il muni d'un interrupteur le mettant hors tension lorsque le cabinet est ouvert?;Afin de prévenir tout risque d'électrocution dû aux voltages dangereux présents à l'intérieur du cabinet;Pour empêcher tout rayonnement RF de s'échapper de l'appareil;Pour empêcher tout rayonnement RF dangereux de s'infiltrer dans l'appareil lorsque ce dernier est ouvert;Pour mettre le bloc d'alimentation hors tension lorsque ce dernier n'est pas utilisé
B-003-018-005;How little electrical current flowing through the human body can be fatal?;As little as 20 milliamperes;Approximately 10 amperes;More than 20 amperes;Current flow through the human body is never fatal;Quel est le courant électrique minimal circulant dans le corps qui peut être mortel?;Aussi peu que 20 milliampères;Environ 10 ampères;Plus de 20 ampères;Le courant électrique qui peut circuler dans le corps humain n'est jamais fatal
B-003-018-006;Which body organ can be fatally affected by a very small amount of electrical current?;The heart;The brain;The liver;The lungs;Quel organe du corps humain peut être atteint fatalement par un courant électrique de faible intensité?;Le coeur;Le cerveau;Le foie;Les poumons
B-003-018-007;What is the minimum voltage which is usually dangerous to humans?;30 volts;100 volts;1000 volts;2000 volts;Quelle tension minimale est habituellement dangereuse pour les humains?;30 volts;100 volts;1 000 volts;2 000 volts
B-003-018-008;What should you do if you discover someone who is being burned by high voltage?;Turn off the power, call for emergency help and provide first-aid if needed;Wait for a few minutes to see if the person can get away from the high voltage on their own, then try to help;Immediately drag the person away from the high voltage;Run from the area so you won't be burned too;Que devriez-vous faire si vous apercevez quelqu'un qui est en contact avec une source de haute tension?;Couper le courant, demander l'aide d'urgence et donner les premiers soins si nécessaire;Attendre quelques minutes pour voir si la personne peut s'éloigner elle-même de la haute tension, ensuite essayer de l'aider;Éloigner immédiatement la personne de la source de haute tension;Vous éloigner rapidement des lieux pour ne pas être atteint par le courant électrique
B-003-018-009;What is the safest method to remove an unconscious person from contact with a high voltage source?;Turn off the high voltage switch before removing the person from contact with the source;Wrap the person in a blanket and pull him to a safe area;Call an electrician;Remove the person by pulling an arm or a leg;Quelle est la méthode la plus sécuritaire pour retirer une personne inconsciente qui est en contact avec une source de haute tension?;Mettre l'interrupteur à haute tension hors circuit avant d'éloigner la personne de la source électrique;La couvrir d'une couverture et la traîner vers un endroit sécuritaire;Faire venir un électricien;Tirer la personne par un bras ou une jambe
