B-003-009-002;In a Yagi 3 element directional antenna, the ________ is the longest radiating element.;reflector;director;driven element;boom;Dans une antenne directionnelle Yagi à 3 éléments, _______ est l'élément rayonnant le plus long.;le réflecteur;le directeur;l'élément alimenté;le bras de support ("boom")
B-003-013-005;Why is FM voice best for local VHF/UHF radio communications?;It provides good signal plus noise to noise ratio at low RF signal levels;The carrier is not detectable;It is more resistant to distortion caused by reflected signals;Its RF carrier stays on frequency better than the AM modes;Pourquoi la phonie en FM est-elle le moyen idéal pour les communications locales UHF/VHF?;Ce mode procure un bon rapport signal plus bruit sur bruit avec de faibles signaux RF;La porteuse ne peut être détectée;Ce mode est plus résistant à la distorsion causée par des signaux réfléchis;La stabilité en fréquence de la porteuse est supérieure à celle produite en modulation d'amplitude (AM)
B-003-013-006;What is the usual bandwidth of a frequency-modulated amateur signal for +/- 5kHz deviation?;Between 10 and 20 kHz;Less than 5 kHz;Between 5 and 10 kHz;Greater than 20 kHz;Quelle est la largeur de bande généralement occupée par les radioamateurs pour émettre en modulation de fréquence avec une excursion de fréquence de +/- 5 kHz?;Entre 10 et 20 kHz;Moins de 5 kHz;Entre 5 et 10 kHz;Plus de 20 kHz
B-003-013-007;What is the result of overdeviation in an FM transmitter?;Out-of-channel emissions;Increased transmitter power;Increased transmitter range;Poor carrier suppression;Quel est le résultat d'une surexcursion ("overdeviation") produite par un émetteur FM?;Des émissions hors canal;Une augmentation de la puissance de l'émetteur;Une augmentation de la portée de l'émetteur;Une suppression inadéquate de la porteuse
B-003-013-008;What emission is produced by a reactance modulator connected to an RF power amplifier?;Phase modulation;Multiplex modulation;Amplitude modulation;Pulse modulation;De quel type est l'émission produite par un modulateur à réactance branché sur un amplificateur de puissance RF?;Une modulation de phase;Une modulation en multiplex;Une modulation en amplitude;Une modulation par impulsions
B-003-013-009;Why isn't frequency modulated (FM) phone used below 28.0 MHz?;The bandwidth would exceed limits in the Regulations;The transmitter efficiency for this mode is low;Harmonics could not be attenuated to practical levels;The frequency stability would not be adequate;Pourquoi la phonie émise en modulation de fréquence (FM) n'est-elle pas utilisée en dessous de 28,0 MHz?;La largeur de bande dépasserait la limite réglementaire;Le rendement de l'émetteur serait très faible;On ne pourrait pas diminuer les harmoniques suffisamment;La stabilité en fréquence ne serait pas satisfaisante
B-003-013-010;You are transmitting FM on the 2 metre band. Several stations advise you that your transmission is loud and distorted. A quick check with a frequency counter tells you that the transmitter is on the proper frequency. Which of the following is the most probable cause of the distortion?;The frequency deviation of your transmitter is set too high;The power supply output voltage is low;The repeater is reversing your sidebands;The frequency counter is giving an incorrect reading and you are indeed off frequency;Vous émettez sur la bande 2 mètres en FM. Plusieurs stations vous informent que votre communication est de très fort volume et affligée de distorsion. Une vérification rapide à l'aide d'un fréquencemètre vous indique que l'émetteur se trouve à la bonne fréquence. Qu'est-ce qui cause probablement cette distorsion?;Le réglage d'excursion de fréquence est trop élevé sur votre émetteur;La tension de sortie du bloc d'alimentation est basse;Le répéteur inverse vos bandes latérales;Le fréquencemètre donne une lecture erronée et vous êtes en effet hors fréquence
B-003-013-011;FM receivers perform in an unusual manner when two or more stations are present. The strongest signal, even though it is only two or three times stronger than the other signals, will be the only transmission demodulated. This is called:;capture effect;attach effect;interference effect;surrender effect;Les récepteurs FM se comportent d'une manière inusitée lorsqu'ils reçoivent en même temps, sur la même fréquence, deux ou plusieurs stations. Le signal le plus fort, même s'il n'est que deux ou trois fois plus fort que les autres signaux, est le seul qui sera démodulé. On appelle ce phénomène :;l'effet de capture;l'effet d'attachement;l'effet de brouillage;l'effet de soumission
B-003-014-001;What do many amateurs use to help form good Morse code characters?;An electronic keyer;A key-operated on/off switch;A notch filter;A DTMF keypad;Qu'utilisent bon nombre de radioamateurs pour émettre en code Morse de manière satisfaisante?;Un manipulateur électronique;Un commutateur à clé;Un filtre coupe-bande;Un pavé numérique multifréquence à deux tonalités ("DTMF keypad")
B-003-014-002;Where would you connect a microphone for voice operation?;To a transceiver;To a power supply;To an antenna switch;To an antenna;Où doit-on brancher le microphone pour émettre en téléphonie?;Le microphone doit être branché à l'émetteur-récepteur;Le microphone doit être branché au bloc d'alimentation;Le microphone doit être branché au commutateur d'antenne;Le microphone doit être branché à l'antenne
B-003-014-003;What would you connect to a transceiver for voice operation?;A microphone;A receiver audio filter;A terminal-voice controller;A splatter filter;Quel appareil doit-on brancher à l'émetteur pour émettre en téléphonie?;Un microphone;Un filtre audio de réception;Un contrôleur audio;Un filtre d'élargissement des bandes ("splatter")
