B-001-020-002;The operator of an amateur station shall ensure that:;communications are limited to messages of a technical or personal nature;communications are exchanged only with commercial stations;all communications are conducted in secret code;charges are properly applied to all third-party communications;L'opérateur d'une station de radioamateur doit s'assurer que :;les communications sont limitées aux messages d'ordre technique ou de nature personnelle;les communications sont échangées avec des stations commerciales seulement;toutes les communications sont effectuées en code secret;les tarifs doivent être appliqués convenablement à toutes les communications pour le compte d'une tierce personne
B-001-022-003;The fee for taking examinations for amateur radio operator certificates by an accredited volunteer examiner is:;to be negotiated between examiner and candidate;always $20 per qualification;always free of charge;always $20 per visit regardless of the number of examinations;Les frais à débourser pour subir un examen de radioamateur chez un examinateur accrédité sont :;à négocier entre l'examinateur et le candidat;toujours 20 $ par examen;toujours gratuits;toujours 20 $ par visite peu importe le nombre d'examens
B-001-022-004;The fee for taking amateur radio certificate examinations at an Innovation, Science and Economic Development Canada office is:;no charge for qualification examinations;$20 per visit, regardless of the number of qualification examinations;$20 per qualification;$5 per qualification examination;Les frais à débourser pour passer un examen de radioamateur aux bureaux d'Innovation, Sciences et Développement économique Canada sont :;il n'y a pas de frais pour passer les examens;20 $ par visite, peu importe le nombre d'examens;20 $ par examen;5 $ par examen
B-001-022-005;Which of the following statements is false?;A candidate with insufficient knowledge of English or French may be accompanied by an interpreter;A candidate who fails a written examination for lack of reading skills may be given an oral examination;A candidate who fails a written examination due to not usually speaking English or French may be given an oral examination;An examiner may request medical evidence from a practicing medical physician before accommodating testing;Lequel des énoncés suivants est faux?;Un candidat dont la maîtrise de l'anglais ou du français est inadéquate pourra être accompagné d'un interprète;Un candidat qui échoue à un examen écrit à cause de difficultés à lire les questions pourrait subir un examen oral;Un candidat qui échoue à un examen écrit parce qu'il ne parle ni l'anglais ni le français couramment pourrait subir un examen oral;Un examinateur peut demander la présentation d'une preuve médicale émise par un médecin avant d'adapter la conduite des examens
B-001-023-001;Which of these statements about the installation or modification  of an antenna structure is not correct?;A radio amateur may erect any size antenna structure without consulting neighbours or the local land-use authority;A radio amateur must follow Innovation, Science and Economic Development Canada's antenna siting procedures.;Innovation, Science and Economic Development Canada expects radio amateurs to address community concerns in a responsible manner;Prior to an installation, for which community concerns could be raised, radio amateurs may be required to consult with their land-use authority;À propos de l'installation ou de la modification d'une structure d'antennes, laquelle des réponses suivantes n'est pas correcte?;Un radioamateur peut ériger une antenne de n'importe quelle grandeur sans consulter ses voisins ni les autorités locales;Un radioamateur doit suivre les procédures d'Innovation, Sciences et Développement économique Canada relatives au choix de l'emplacement des antennes;Innovation, Sciences et Développement économique Canada s'attend à ce que les radioamateurs tiennent compte des préoccupations de la communauté de manière responsable;Avant toute installation pouvant susciter des objections de la communauté, le radioamateur pourrait devoir consulter les autorités locales
B-001-023-002;Who has authority over antenna installations including antenna masts and towers?;The Minister of Innovation, Science and Economic Development;The person planning to use the tower or their spouse;The local municipal government;The majority of neighbours residing within a distance of three times the proposed antenna structure height;Qui détient l'autorité sur l'installation de systèmes d'antennes y compris l'installation de pylônes d'antennes et de tours?;Le ministre de l'Innovation, Sciences et Développement économique;L'usager de la structure ou l'autre personne du couple;La municipalité;Un groupe majoritaire de voisins résidant dans un rayon de trois fois la hauteur prévue de la structure
B-001-023-003;If you are planning to install or modify an antenna system under what conditions may you not be required to contact land use authorities to determine public consultation requirements?;When an exclusion criterion defined by Innovation, Science and Economic Development Canada applies;In a rural area;When the structure is part of an amateur radio antenna;When transmitting will only be done at low power;Si vous entendez ériger ou modifier une structure porteuse d'antennes, sous quelle condition pourriez-vous ne pas devoir contacter l'autorité responsable de l'utilisation du sol et vous enquérir du processus de consultation nécessaire?;Quand un critère d'exclusion défini par Innovation, Sciences et Développement économique Canada s'applique;En région rurale;Quand la structure fait partie d'une station du service radioamateur;Quand toute émission sera de basse puissance
B-001-023-004;The land use authority has not established a process for public consultation for antenna systems. The radio amateur planning to install or modify an antenna system:;must fulfill the public consultation requirements set out in Innovation, Science and Economic Development Canada's Default Public Consultation Process unless the land use authority excludes their type of proposal from consultation or it is excluded by Innovation, Science and Economic Development Canada's process;can proceed with their project without public consultation;must implement a public consultation process of their own design;must wait for the land use authority to develop a public consultation process;L'autorité responsable de l'utilisation du sol n'a pas mis en place un processus de consultation publique relatif aux structures d'antennes. Le radioamateur qui planifie installer ou modifier un système d'antennes :;doit répondre aux exigences du processus par défaut d'Innovation, Sciences et Développement économique Canada à moins que leur proposition soit exclue des exigences de consultation publique par l'autorité responsable du sol ou par le processus d'Innovation, Sciences et Développement économique Canada;peut aller de l'avant sans consultation publique;doit mettre en place un processus de consultation publique de leur propre conception;doit attendre que l'autorité responsable de l'utilisation du sol mette en place un processus de consultation publique
B-001-023-005;Which is not an element of the Innovation, Science and Economic Development Canada Public Consultation Process for antenna systems?;Participating in public meetings on the project;Providing written notice;Addressing relevant questions comments and concerns;Providing an opportunity for the public to respond regarding measures to address reasonable and relevant concerns;Lequel des éléments suivants ne fait pas partie du processus de consultation publique relatif aux structures d'antennes d'Innovation, Sciences et Développement économique Canada?;Participer à des réunions publiques concernant le projet;Notifier le public par écrit;Répondre aux questions, observations et préoccupations;Donner au public la possibilité de répondre aux mesures prises pour accommoder les préoccupations pertinentes et raisonnables
B-001-023-006;The Default Public Consultation Process for antenna systems requires proponents to address:;reasonable and relevant concerns provided in writing within the 30 day public comment period;all questions, comments and concerns raised;comments reported in media reporting on the proposal;opposition to the project;Le processus de consultation publique par défaut relatif aux structures d'antennes d'Innovation, Sciences et Développement économique Canada exige du promoteur qu'il réponde :;aux préoccupations pertinentes et raisonnables soumises par écrit durant les 30 jours suivants la publication de l'avis;à toutes les questions et préoccupations soulevées;aux commentaires sur le projet relayés par les médias;à toute opposition au projet
B-001-023-007;Where a municipality has developed a public consultation process which of the following options best describes all circumstances when public consultation may not be required?;Exclusions listed in either CPC-2-0-03 or the Local land use authority process;Exclusions listed in the Innovation, Science and Economic Development Canada Client Procedures Circular on Radiocommunications and Broadcasting Antenna Systems CPC-2-0-03;Exclusions defined in the Local land use authority process;Exclusions listed in both CPC-2-0-03 and the Local land use authority process;Lorsqu'une municipalité a mis en place un processus de consultation publique relatif aux structures d'antennes, lequel des énoncés suivants décrit le plus justement toutes les circonstances qui pourraient rendre une consultation publique non nécessaire?;Les exclusions apparaissant à l'un ou l'autre document, soit la CPC-2-0-03 ou le processus de l'autorité responsable de l'utilisation du sol;Les exclusions montrées à la Circulaire des procédures concernant les clients intitulée "Systèmes d'antennes de radiocommunications et de radiodiffusion CPC-2-0-03";Les exclusions définies dans le processus de l'autorité responsable de l'utilisation du sol;Les exclusions communes aux deux documents, soit la CPC-2-0-03 et le processus de l'autorité responsable de l'utilisation du sol
B-001-023-008;Where the proponent and a stakeholder other than the general public reach an impasse over a proposed antenna system the final decision will:;be made by Innovation, Science and Economic Development Canada;be postponed until those in dispute reach an agreement;be made by the municipality in which the antenna is to be built;be made by a majority vote of those residing within a radius of three times the antenna structure height;Si le promoteur et une partie autre qu'un membre du public en arrivent à une impasse au sujet d'une structure d'antenne, l'ultime décision :;sera rendue par Innovation, Sciences et Développement économique Canada;sera repoussée jusqu'à ce que les parties s'entendent;sera rendue par la municipalité où la structure doit être érigée;sera déterminée par un groupe majoritaire des personnes résidant dans un rayon de trois fois la hauteur de la structure proposée
B-001-023-009;In general, what is the tallest amateur radio antenna system excluded from the requirement to consult with the land use authority and the public where there is a land use authority defined public consultation process?;the taller of the height exclusion in the land use authority public consultation process and Innovation, Science and Economic Development Canada's antenna siting procedures;10m;15m;21m;De façon générale, quelle est la hauteur maximale d'une structure d'antenne qui est exclue de l'exigence d'une consultation auprès de l'autorité responsable de l'utilisation du sol et du public quand l'autorité locale a défini son propre processus de consultation publique?;La plus haute de l'exclusion de hauteur stipulée dans le processus de l'autorité locale et des procédures d'Innovation, Sciences et Développement économique Canada relatives au choix de l'emplacement des antennes;10 m;15 m;21 m
B-001-023-010;Where a land use authority or municipality has established a public consultation process for antenna systems, who determines how public consultation should take place?;The municipality or local land use authority;Innovation, Science and Economic Development Canada;The person planning to erect an antenna structure;The provincial government;Lorsque l'autorité responsable de l'utilisation du sol ou la municipalité a mis en place son propre processus de consultation publique relatif aux structures d'antennes, qui détermine comment une consultation publique devrait se dérouler?;La municipalité ou l'autorité responsable de l'utilisation du sol;Innovation, Sciences et Développement économique Canada;Le promoteur désirant ériger la structure;Le gouvernement provincial
B-001-024-001;What organization has published safety guidelines for the maximum limits of RF energy near the human body?;Health Canada;Canadian Standards Association;Environment Canada;Transport Canada;Quelle organisation a publié les règles de sécurité concernant l'exposition humaine à l'énergie des radiofréquences?;Santé Canada;Association canadienne de normalisation ("CSA");Environnement Canada;Transports Canada
B-001-024-002;What is the purpose of the Safety Code 6?;It gives RF exposure limits for the human body;It lists all RF frequency allocations for interference protection;It sets transmitter power limits for interference protection;It sets antenna height limits for aircraft protection;Que dicte le Code de sécurité 6?;Il établit les limites à l'exposition RF pour le corps humain;Il liste toutes les attributions de fréquences RF pour prévenir le brouillage;Il établit des puissances maximales d'émission pour limiter l'interférence;Il limite la hauteur des antennes pour la sécurité des avions
B-001-024-003;According to Safety Code 6, what frequencies cause us the greatest risk from RF energy?;30 to 300 MHz;300 to 3000 MHz;Above 1500 MHz;3 to 30 MHz;Selon le Code de sécurité 6, à quelles fréquences le rayonnement de l'énergie RF peut-il nous causer le plus de risques?;30 à 300 MHz;300 à 3000 MHz;Au-dessus de 1500 MHz;3 à 30 MHz
B-001-024-004;Why is the limit of exposure to RF the lowest in the frequency range of 30 MHz to 300 MHz, according to Safety Code 6?;The human body absorbs RF energy the most in this range;There are more transmitters operating in this range;There are fewer transmitters operating in this range;Most transmissions in this range are for a longer time;Selon le Code de sécurité 6, pourquoi la limite d'exposition à l'énergie RF est-elle la plus basse entre 30 MHz et 300 MHz?;Parce que le corps humain absorbe plus facilement l'énergie RF sur ces fréquences;Parce qu'il y a plus d'émetteurs sur ces fréquences;Parce qu'il y a moins d'émetteurs sur ces fréquences;Parce que la plupart des émissions sont de plus longue durée sur ces fréquences
B-001-024-005;According to Safety Code 6, what is the maximum safe power output to the antenna of a hand-held VHF or UHF radio?;Not specified;10 watts;25 watts;125 milliwatts;Selon le Code de sécurité 6, quelle est la puissance de sortie maximale sécuritaire à l'antenne d'un radio portatif VHF ou UHF à main?;Non précisée;10 watts;25 watts;125 milliwatts
B-001-024-006;Which of the following statements is not correct?;Permissible exposure levels of RF fields decreases as frequency is decreased below 10 MHz;Maximum exposure levels of RF fields to the general population, in the frequency range 10 to 300 MHz, is 28 V/m RMS (E-field);Permissible exposure levels of RF fields increases as frequency is increased from 300 MHz to 1.5 GHz;Permissible exposure levels of RF fields increases as frequency is decreased from 10 MHz to 1 MHz;Laquelle des réponses suivantes n'est pas correcte?;Le niveau permis d'exposition aux champs RF diminue à mesure que la fréquence baisse sous 10 MHz;En général, pour les fréquences situées entre 10 et 300 MHz, l'exposition maximale est 28 V (efficace) par mètre d'exposition;Le niveau permis d'exposition aux champs RF augmente à mesure que la fréquence augmente de 300 MHz à 1,5 GHz;Le niveau permis d'exposition aux champs RF augmente à mesure que la fréquence baisse de 10 MHz à 1 MHz
B-001-024-007;The permissible exposure levels of RF fields:;increases, as frequency is increased from 300 MHz to 1.5 GHz;decreases, as frequency is decreased below 10 MHz;increases, as frequency is increased from 10 MHz to 300 MHz;decreases, as frequency is increased above 300 MHz;Le niveau acceptable d'exposition aux champs RF :;augmente à mesure que la fréquence monte de 300 MHz à 1,5 GHz;diminue à mesure que la fréquence baisse sous 10 MHz;augmente à mesure que la fréquence monte de 10 MHz à 300 MHz;diminue à mesure que la fréquence monte au-dessus de 300 MHz
B-001-024-008;Which statement is not correct?;hand held transmitters are excluded from Safety Code 6 requirements;Antenna gain, distance, transmitter power and frequency are all factors which influence the electric field strength and a person's exposure to radio energy.;Safety Code 6 uses different units for the magnetic field strength and the electric field strength when stating limits;Safety Code 6 specifies lower exposure limits for the general public in uncontrolled areas than it does for people in controlled areas;Quel énoncé est faux?;Les émetteurs portatifs sont exempts des exigences du Code de sécurité 6;Le gain d'antenne, la distance, la puissance et la fréquence sont autant de facteurs qui influencent l'intensité du champ électrique et l'exposition d'une personne à l'énergie radio;Le Code de sécurité 6 utilise des unités de mesure différentes pour les champs électrique et magnétique;Le Code de sécurité 6 stipule des limites d'exposition plus basses pour le grand public dans les environnements non contrôlés que pour les gens dans les environnements contrôlés
B-001-024-009;Which statement is correct?;Safety Code 6 sets limits for RF exposure from all radio transmitters regardless of power output;Safety Code 6 regulates the operation of receivers only;The operation of portable transmitting equipment is of no concern in Safety Code 6;Portable transmitters, operating below 1 GHz, with an output power equal to, or less than 7 watts, are exempt from the requirements of Safety Code 6;Quel énoncé est vrai?;Le Code de sécurité 6 fixe des limites d'exposition pour tous les émetteurs, peu importe leur puissance de sortie;Le Code de sécurité 6 régit uniquement l'exploitation des récepteurs;L'exploitation de matériel d'émission portatif n'est pas régie par le Code de sécurité 6;Les émetteurs portatifs fonctionnant au-dessous de 1 GHz avec une puissance de sortie égale ou inférieure à 7 watts sont exempts des exigences du Code de sécurité 6
B-001-024-010;Which of these statements about Safety Code 6 is false?;Safety Code 6 sets limits in terms of power levels fed into antennas;Safety Code 6 sets limits for contact currents that could be drawn from ungrounded or poorly grounded objects;Safety Code 6 sets limits for induced currents, electrical field strength and magnetic field strength from electromagnetic radiation;Safety Code 6 sets limits for allowable rates at which RF energy is absorbed in the body (Specific Absorption Rate);À propos du Code de sécurité 6, lequel des énoncés suivants est faux?;Fixe des limites énoncées en niveaux de puissance permise à l'antenne;Fixe des limites pour les courants de contact qui pourraient être perçus sur des objets non mis à la terre ou incorrectement mis à la terre;Fixe des limites pour les courants induits, l'intensité du champ électrique et l'intensité du champ magnétique découlant du rayonnement électromagnétique;Fixe des limites pour les taux d'absorption de radiofréquence par le corps (Débit d'absorption spécifique ou "Specific Absorption Rate")
B-001-025-001;In the event of the malfunctioning of a neighbour's broadcast FM receiver and stereo system, it will be deemed that the affected equipment's lack of immunity is the cause if the field strength:;on the premises of the affected equipment is below Innovation, Science and Economic Development Canada's specified immunity criteria;at the transmitting location is below the radio amateur's maximum allowable transmitter power;at the transmitting location is above 100 watts;near the affected equipment is above Innovation, Science and Economic Development Canada's specified immunity criteria;Dans un cas de fonctionnement défectueux d'un récepteur de radiodiffusion FM chez un voisin et selon les critères du bulletin ACEM-2, le personnel du ministère considérera le manque d'immunité du matériel affecté comme la cause si l'intensité du champ :;sur les lieux du récepteur est inférieure aux critères d'immunité spécifiée par Innovation, Sciences et Développement économique Canada;à l'émetteur est inférieure à la puissance d'émetteur maximale permise du radioamateur;à l'émetteur excède 100 watts;près du récepteur excède les critères d'immunité spécifiée par Innovation, Sciences et Développement économique Canada
B-001-025-002;In the event of interference to a neighbour's television receiver, according to EMCAB-2 it will be deemed that a radio amateur's transmission is the cause of the problem if the field strength:;on the neighbour's premises is above Innovation, Science and Economic Development Canada's specified immunity criteria;near the TV is below  Innovation, Science and Economic Development Canada's specified immunity criteria;at the transmitting location is below the radio amateur's maximum allowable transmitter power;at the transmitting location is above the radio amateur's maximum allowable transmitter power;Dans un cas de brouillage à un téléviseur chez un voisin et selon les critères du bulletin ACEM-2, le personnel du ministère considérera vos émissions comme en étant la cause si l'intensité du champ :;sur le terrain du voisin excède les critères d'immunité spécifiée par Innovation, Sciences et Développement économique Canada;près du téléviseur est inférieure aux critères d'immunité spécifiée par Innovation, Sciences et Développement économique Canada;à l'émetteur est inférieure à la puissance d'émetteur maximale permise du radioamateur;à l'émetteur excède la puissance d'émetteur maximale permise du radioamateur
B-001-025-003;Which of the following is defined in EMCAB-2 as "any device, machinery or equipment, other than radio apparatus, the use or functioning of which is, or can be, adversely affected by radiocommunication emissions"?;Radio-sensitive equipment;Cable television converters;Audio and video recorders;Broadcast receivers;Selon le bulletin ACEM-2, lequel des énoncés suivants est défini par "tout dispositif, machinerie ou équipement, autre qu'un appareil radio, pouvant être affecté par des émissions radio lors de son fonctionnement ou de son usage"?;Du matériel radiosensible;Un câblosélecteur;Un magnétophone et un magnétoscope;Un récepteur de radiodiffusion
B-001-025-004;According to EMCAB-2 which of the following types of equipment is not included in the list of field strength criteria for resolution of immunity complaints?;Broadcast transmitters;Broadcast receivers;Associated equipment;Radio-sensitive equipment;Selon le bulletin ACEM-2, lequel des équipements suivants n'est pas inclus dans la liste des critères d'intensité du champ pour résoudre les plaintes d'immunité?;Les émetteurs de radiodiffusion;Les récepteurs de radiodiffusion;Les équipements associés à la radiodiffusion;Le matériel radiosensible
B-002-001-001;What is a good way to make contact on a repeater?;Say the call sign of the station you want to contact, then your call sign;Say the other operator's name, then your call sign three times;Say, "Breaker, breaker,";Say the call sign of the station you want to contact three times;Quelle est la bonne façon de faire un contact sur un répéteur?;Dire l'indicatif de la station que vous voulez rejoindre, puis donner votre indicatif;Dire le nom du radioamateur que vous appelez, puis dire votre indicatif à trois reprises;Dire "breaker, breaker";Dire à trois reprises l'indicatif de la station que vous voulez rejoindre
B-002-001-002;What is the main purpose of a repeater?;To increase the range of portable and mobile stations;To link amateur stations with the telephone system;To retransmit weather information during severe storm warnings;To make local information available 24 hours a day;Pourquoi utilise-t-on un répéteur?;Pour améliorer la portée des stations portables et mobiles;Pour établir un lien du service radioamateur au réseau téléphonique public;Pour retransmettre les informations durant les veilles météorologiques;Pour rendre disponibles les informations locales 24 heures par jour
B-002-001-003;What is frequency coordination on VHF and UHF bands?;A process which seeks to carefully assign frequencies so as to minimize interference with neighbouring repeaters;A band plan detailing modes and frequency segments within a band;The selection of simplex frequencies by individual operators;A part of the planning prior to a contest;Que veut-on dire par coordination de fréquence sur les bandes VHF et UHF?;Un processus qui vise, par une attribution de fréquence judicieuse, à minimiser le brouillage avec les répéteurs avoisinants;Un plan de bande montrant les modes d'émission par segment de bande;Le choix de fréquences simplex par des individus;La planification préalable à un concours
B-002-001-004;What is the purpose of a repeater time-out timer?;It interrupts lengthy transmissions without pauses;It lets a repeater have a rest period after heavy use;It logs repeater transmit time to predict when a repeater will fail;It tells how long someone has been using a repeater;Pourquoi un répéteur est-il équipé d'une minuterie limitant la durée de la retransmission?;Afin de mettre fin à de longues transmissions sans pauses;Afin de laisser refroidir le répéteur après une période d'utilisation intense;Afin d'enregistrer la durée des retransmissions, et ainsi déterminer à l'avance quand l'équipement fera défaut;Afin de déterminer la durée d'utilisation du répéteur par un radioamateur
B-002-001-005;What is a CTCSS tone?;A sub-audible tone that activates a receiver audio output when present;A tone used by repeaters to mark the end of a transmission;A special signal used for telemetry between amateur space stations and Earth stations;A special signal used for radio control of model craft;Que veut dire la tonalité CTCSS?;Une tonalité infravocale (sous-audible) qui active la sortie audio d'un récepteur si présente;Une tonalité utilisée par les répéteurs pour indiquer la fin d'une retransmission;Un signal spécial utilisé en télémesure entre des stations spatiales du service radioamateur et des stations terrestres;Un signal spécial utilisé pour les modèles télécommandés
B-002-001-006;How do you call another station on a repeater if you know the station's call sign?;Say the station's call sign, then identify your own station;Say "break, break 79," then say the station's call sign;Say "CQ" three times, then say the station's call sign;Wait for the station to call "CQ", then answer it;Comment appelez-vous une autre station sur un répéteur si vous connaissez l'indicatif d'appel de sa station?;Dites l'indicatif d'appel de la station appelée, puis identifiez votre propre station;Dites "break, break 79", puis identifiez votre propre station;Dites "CQ" trois fois, puis identifiez votre propre station;Attendez que la station dise "CQ", puis répondez-lui
B-002-001-007;Why should you pause briefly between transmissions when using a repeater?;To listen for anyone else wanting to use the repeater;To check the SWR of the repeater;To reach for pencil and paper for third-party communications;To dial up the repeater's autopatch;Pourquoi devriez-vous faire une légère pause entre les transmissions faites sur un répéteur?;Pour vérifier s'il n'y a pas quelqu'un qui désire se servir du répéteur;Pour vérifier le ROS du répéteur;Pour aller chercher une feuille de papier et un crayon pour les communications au nom d'un tiers;Pour signaler un numéro sur le raccordement téléphonique
B-002-001-008;Why should you keep transmissions short when using a repeater?;A long transmission may prevent someone with an emergency from using the repeater;To keep long-distance charges down;To give any listening non-hams a chance to respond;To see if the receiving station operator is still awake;Pourquoi devriez-vous vous limiter à de courtes conversations lorsque vous utilisez un répéteur?;Une trop longue conversation peut empêcher une personne d'utiliser le répéteur en cas d'urgence;Pour éviter les frais d'appels interurbains;Pour permettre à des non-amateurs de participer à la conversation;Pour vous assurer que l'opérateur de l'autre station est toujours éveillé
B-002-001-009;What is the proper way to join into a conversation on a repeater?;Say your call sign during a break between transmissions;Wait for the end of a transmission and start calling the desired party;Shout, "break, break!" to show that you're eager to join the conversation;Turn on an amplifier and override whoever is talking;Quelle est la meilleure façon de se  joindre à une conversation qui se déroule sur un répéteur?;Donnez votre indicatif durant la pause entre les transmissions;Attendez la fin d'une transmission, puis appelez la station que vous désirez contacter;Criez "break, break!" pour indiquer votre empressement à participer à la conversation;Mettez votre amplificateur en service pour être sûr d'être entendu
B-002-001-010;What is the accepted way to ask someone their location when using a repeater?;Where are you?;What is your 20?;Locations are not normally told by radio;What is your 12?;Quelle est la meilleure façon de se renseigner sur le lieu d'émission de l'autre personne lorsque vous utilisez un répéteur?;Où êtes-vous situé?;Quel est votre "20"?;On ne doit pas donner son emplacement en ondes;Quel est votre "12"?
B-002-001-011;FM repeater operation on the 2 metre band uses one frequency for transmission and one for reception. The difference in frequency between the transmit and receive frequency is normally:;600 kHz;800 kHz;1 000 kHz;400 kHz;Sur la bande 2 mètres, les répéteurs FM utilisent une fréquence d'émission différente de la fréquence de réception. L'écart entre ces fréquences est normalement le suivant :;600 kHz;800 kHz;1 000 kHz;400 kHz
B-002-002-001;To make your call sign better understood when using voice transmissions, what should you do?;Use Standard International Phonetics for each letter of your call sign;Use any words which start with the same letters as your call sign for each letter of your call;Talk louder;Turn up your microphone gain;Pour vous assurer que votre indicatif est bien compris, quel moyen pouvez-vous utiliser en téléphonie?;Employer l'alphabet phonétique international pour chacune des lettres de votre indicatif;Utiliser des mots commençant par les mêmes lettres que les lettres de votre indicatif;Parler plus fort;Augmenter le gain de l'amplificateur microphonique
