B-008-004-002;What is meant by harmonic radiation?;Unwanted signals at frequencies which are multiples of the fundamental (chosen) frequency;Unwanted signals that are combined with a 60-Hz hum;Unwanted signals caused by sympathetic vibrations from a nearby transmitter;Signals which cause skip propagation to occur;Que veut dire le rayonnement d'harmoniques?;Un signal indésirable dont la fréquence est un multiple de la fréquence fondamentale d'opération;Un signal indésirable combiné à un ronflement de 60 Hz;Un signal indésirable dû à une résonance harmonique avec un émetteur situé à proximité;Un signal qui provoque une propagation par saut
B-008-005-002;Why do modern HF transmitters have a built-in low pass filter in their RF output circuits?;To reduce harmonic radiation;To reduce fundamental radiation;To reduce low frequency interference to other amateurs;To reduce RF energy below a cut-off point;Pourquoi les modèles récents d'émetteurs HF ont-ils un filtre passe-bas intégré aux circuits RF de sortie?;Pour diminuer le rayonnement des harmoniques;Pour réduire le rayonnement de la porteuse;Pour ne pas causer d'interférence en basses fréquences aux autres stations;Pour diminuer l'énergie RF en dessous d'un point de coupure
B-008-005-003;What circuit blocks RF energy above and below a certain limit?;A band pass filter;A high pass filter;An input filter;A low pass filter;Quel circuit bloque l'énergie RF au-dessus et au-dessous d'une certaine limite?;Le filtre passe-bande;Le filtre passe-haut;Un filtre d'entrée;Un filtre passe-bas
B-008-005-004;What should be the impedance of a low pass filter as compared to the impedance of the transmission line into which it is inserted?;About the same;Substantially lower;Twice the transmission line impedance;Substantially higher;Que devrait être l'impédance d'un filtre passe-bas inséré dans une ligne de transmission par rapport à l'impédance caractéristique de cette dernière?;Environ la même;Substantiellement plus basse;Deux fois l'impédance de la ligne de transmission;Substantiellement plus haute
B-008-005-005;In order to reduce the harmonic output of a high frequency (HF) transmitter, which of the following filters should be installed at the transmitter?;Low pass;Key click;High pass;Rejection;Pour réduire le rayonnement harmonique d'un émetteur haute fréquence (HF), lequel des filtres ci-dessous doit être installé à l'émetteur?;Un filtre passe-bas;Un filtre pour claquements de manipulation;Un filtre passe-haut;Un filtre éliminateur
B-008-005-006;To reduce harmonic output from a high frequency transmitter, you would put a ____________ in the transmission line as close to the transmitter as possible.;low pass filter;high pass filter;band reject filter;wave trap;Pour réduire les harmoniques en provenance d'un émetteur HF, vous pourriez placer un _____________ dans la ligne de transmission, aussi près que possible de l'émetteur.;un filtre passe-bas;un filtre passe-haut;un filtre éliminateur de bande;un piège d'onde
B-008-005-007;To reduce energy from an HF transmitter getting into a television set, you would place a ____________ as close to the TV as possible.;high pass filter;low pass filter;wave trap;band reject filter;Pour réduire la pénétration de l'énergie RF en provenance d'un émetteur HF, dans un téléviseur, vous pourriez installer ____________ aussi près que possible du téléviseur.;un filtre passe-haut;un filtre passe-bas;un piège d'onde;un filtre éliminateur de bande
B-008-005-008;A band pass filter will:;allow only certain frequencies through;attenuate high frequencies but not low;pass frequencies each side of a band;stop frequencies in a certain band;Un filtre passe-bande :;ne laisse passer que certaines fréquences;atténue les fréquences élevées, mais pas les fréquences basses;laisse passer les fréquences inférieures ou supérieures à une gamme donnée;bloque les fréquences d'une gamme donnée
B-008-005-009;A band reject filter will:;pass frequencies each side of a band;allow only two frequencies through;pass frequencies below 100 MHz;stop frequencies each side of a band;Un filtre coupe-bande :;laisse passer les fréquences inférieures ou supérieures à une gamme donnée;ne laisse passer que deux fréquences;laisse passer les fréquences au-dessous de 100 MHz;bloque les fréquences inférieures ou supérieures à une gamme donnée
B-008-005-010;A high pass filter would normally be fitted:;at the antenna terminals of the TV receiver;between microphone and speech amplifier;at the Morse key or keying relay in a transmitter;between transmitter output and transmission line;Un filtre passe-haut est généralement placé :;au connecteur d'antenne du téléviseur;entre le microphone et l'amplificateur microphonique;au manipulateur de code Morse ou au relais de manipulation d'un émetteur;entre la sortie de l'émetteur et la ligne de transmission
B-008-005-011;A low pass filter suitable for a high frequency transmitter would:;attenuate frequencies above 30 MHz;pass audio frequencies above 3 kHz;attenuate frequencies below 30 MHz;pass audio frequencies below 3 kHz;Un filtre passe-bas convenable pour un émetteur haute fréquence :;atténue les fréquences au-dessus de 30 MHz;laisse passer les fréquences audio au-dessus de 3 kHz;atténue les fréquences au-dessous de 30 MHz;laisse passer les fréquences audio au-dessous de 3 kHz
