B-006-002-001;What is a coaxial cable?;A center wire inside an insulating material which is covered by a metal sleeve or shield;Two wires side-by-side in a plastic ribbon;Two wires side-by-side held apart by insulating rods;Two wires twisted around each other in a spiral;Qu'est-ce qu'un câble coaxial?;Un fil central, entouré d'un matériau isolant, lequel est entouré d'une gaine conductrice ou d'une tresse métallique;Deux fils parallèles dans un ruban de plastique;Deux fils parallèles tenus à distance par des tiges isolantes;Deux fils enroulés l'un autour de l'autre, en spirale
B-006-003-001;Why does coaxial cable make a good antenna transmission line?;It is weatherproof, and its impedance matches most amateur antennas;It is weatherproof, and its impedance is higher than that of most amateur antennas;It can be used near metal objects, and its impedance is higher than that of most amateur antennas;You can make it at home, and its impedance matches most amateur antennas;Pourquoi un câble coaxial est-il une bonne ligne de transmission?;Il est à l'épreuve des intempéries et son impédance est en accord avec celle de la plupart des antennes utilisées par les radioamateurs;Il est à l'épreuve des intempéries et son impédance est plus élevée que celle de la plupart des antennes utilisées par les radioamateurs;Il peut être utilisé près d'objets métalliques et son impédance est plus élevée que celle de la plupart des antennes utilisées par les radioamateurs;Vous pouvez le fabriquer facilement et son impédance est en accord avec celle de la plupart des antennes utilisées par les radioamateurs
B-006-003-002;What is the best antenna transmission line to use, if it must be put near grounded metal objects?;Coaxial cable;Ladder-line;Twisted pair;Twin lead;Quelle ligne de transmission est-il préférable d'utiliser lorsqu'elle doit être à proximité d'objets métalliques reliés à la terre?;Un câble coaxial;Une ligne ouverte, dite "en échelle";Une paire torsadée (deux fils enroulés l'un sur l'autre);Une ligne bifilaire
B-006-003-003;What are some reasons not to use parallel-conductor transmission line?;It does not work well when tied down to metal objects, and you should use a balun and may have to use an impedance-matching device with your transceiver;You must use an impedance-matching device with your transceiver, and it does not work very well with a high SWR;It does not work well when tied down to metal objects, and it cannot operate under high power;It is difficult to make at home, and it does not work very well with a high SWR;Donnez quelques raisons de ne pas utiliser une ligne de transmission faite de conducteurs parallèles?;Mauvais rendement lorsqu'attachée à un objet métallique, l'utilisation d'un symétriseur est souhaitable et vous pourriez avoir besoin d'un adaptateur d'impédance;Nécessite un adaptateur d'impédance et ne donne pas un bon rendement lorsque le ROS est élevé;Mauvais rendement lorsqu'attachée à un objet métallique, et ne peut être utilisée à haute puissance;Difficile à fabriquer, et ne donne pas un bon rendement lorsque le ROS est élevé
B-006-003-004;What common connector type usually joins RG-213 coaxial cable to an HF transceiver?;A PL-259 connector;An F-type cable connector;A banana plug connector;A binding post connector;Quel type de connecteur est habituellement installé pour relier un câble coaxial RG-213 à un émetteur RF?;Un PL-259;Un connecteur de type F;Une fiche banane;Une borne de raccordement double ("binding post")
B-006-003-005;What common connector usually joins a hand-held transceiver to its antenna?;An SMA connector;A PL-259 connector;An F-type cable connector;A binding post connector;Quel connecteur est généralement utilisé pour relier un émetteur portatif à son antenne?;Un connecteur SMA;Un connecteur PL-259;Un connecteur de type F;Une borne de raccordement double ("binding post")
B-006-003-006;Which of these common connectors has the lowest loss at UHF?;A type-N connector;An F-type cable connector;A BNC connector;A PL-259 connector;Parmi les connecteurs suivants, lequel a le moins de pertes en UHF?;Le connecteur de type N;Le connecteur de type F;Le connecteur BNC;Le connecteur PL-259
B-006-003-007;If you install a 6 metre Yagi on a tower 60 metres (200 ft) from your transmitter, which of the following transmission lines provides the least loss?;RG-213;RG-174;RG-59;RG-58;Si vous installez un Yagi 6 mètres dans une tour à 60 mètres (200 pi) de l'émetteur, lequel des câbles coaxiaux suivants offre le moins de perte?;Un RG-213;Un RG-174;Un RG-59;Un RG-58
B-006-003-008;Why should you regularly clean and tighten all antenna connectors?;To help keep their contact resistance at a minimum;To keep them looking nice;To keep them from getting stuck in place;To increase their capacitance;Pourquoi devriez-vous régulièrement nettoyer et serrer les connecteurs d'une ligne de transmission?;Pour vous assurer que la résistance de contact demeure très faible;Pour l'apparence;Pour éviter que vous ne puissiez plus les défaire;Pour augmenter leur capacité
B-006-003-009;What commonly available antenna transmission line can be buried directly in the ground for some distance without adverse effects?;Coaxial cable;75 ohm twin-lead;600 ohm open wire line;300 ohm twin-lead;Quelle ligne de transmission communément disponible sur le marché peut être enfouie directement dans le sol sur une certaine distance sans effets défavorables?;Le câble coaxial;La ligne bifilaire de 75 ohms;La ligne ouverte de 600 ohms;La ligne bifilaire de 300 ohms
B-006-003-010;When antenna transmission lines must be placed near grounded metal objects, which of the following transmission lines should be used?;Coaxial cable;300 ohm twin-lead;600 ohm open wire line;75 ohm twin-lead;Lorsqu'on doit placer une ligne de transmission près d'objets reliés à la terre, quel genre de ligne doit-on utiliser?;Le câble coaxial;La ligne bifilaire de 300 ohms;La ligne ouverte de 600 ohms;La ligne bifilaire de 75 ohms
B-006-003-011;TV twin-lead transmission line can be used for a transmission line in an amateur station. The impedance of this line is approximately:;300 ohms;600 ohms;50 ohms;70 ohms;Un amateur peut utiliser une ligne bifilaire de télévision pour alimenter son antenne émettrice. Quelle est l'impédance caractéristique approximative de ce type de ligne?;300 ohms;600 ohms;50 ohms;70 ohms
B-006-004-001;Why should you use only good quality coaxial cable and connectors for a UHF antenna system?;To keep RF loss low;To keep television interference high;To keep the power going to your antenna system from getting too high;To keep the standing wave ratio of your antenna system high;Pourquoi devriez-vous utiliser d'excellents connecteurs et câbles coaxiaux pour un système d'antennes UHF?;Pour réduire les pertes RF;Pour garder élevée l'interférence à la télévision;Pour empêcher que la puissance acheminée à l'antenne ne soit trop élevée;Pour garder élevé le rapport d'onde stationnaire de l'antenne
B-006-004-002;What are some reasons to use parallel-conductor transmission line?;It will operate with a high SWR, and has less loss than coaxial cable;It has low impedance, and will operate with a high SWR;It will operate with a high SWR, and it works well when tied down to metal objects;It has a low impedance, and has less loss than coaxial cable;Pourquoi utiliser une ligne de transmission faite de deux conducteurs parallèles?;Elle supporte un ROS élevé et a moins de perte qu'un câble coaxial;Elle a une basse impédance et supporte un ROS élevé;Elle permet d'opérer avec un ROS élevé, et fonctionne bien lorsqu'attachée à des objets métalliques;Elle a une basse impédance et moins de perte qu'un câble coaxial
B-006-004-003;If your transmitter and antenna are 15 metres (50 ft) apart, but are connected by 60 metres (200 ft) of RG-58 coaxial cable, what should be done to reduce transmission line loss?;Shorten the excess cable;Shorten the excess cable so the transmission line is an odd number of wavelengths long;Roll the excess cable into a coil which is as small as possible;Shorten the excess cable so the transmission line is an even number of wavelengths long;Si votre émetteur est situé à 15 mètres (50 pieds) de votre antenne, et que vous utilisez un câble coaxial RG-58 long de 60 mètres (200 pieds), que devriez-vous faire pour réduire la perte de puissance dans la ligne de transmission?;Diminuer autant que possible la longueur du câble coaxial;Raccourcir le câble pour obtenir une longueur équivalente à un nombre impair de longueurs d'onde;Enrouler le câble excédentaire en un rouleau très serré;Raccourcir le câble pour obtenir une longueur équivalente à un nombre pair de longueurs d'onde
B-006-004-004;As the length of a transmission line is changed, what happens to signal loss?;Signal loss increases as length increases;Signal loss decreases as length increases;Signal loss is the least when the length is the same as the signal's wavelength;Signal loss is the same for any length of transmission line;Si l'on change la longueur d'une ligne de transmission, qu'advient-il de la perte?;Il y a plus de perte lorsqu'on augmente la longueur de la ligne;La perte diminue lorsque la longueur augmente;La perte est minimale lorsque la longueur de la ligne équivaut à une longueur d'onde;La perte reste inchangée, peu importe la longueur de la ligne
B-006-004-005;As the frequency of a signal is changed, what happens to signal loss in a transmission line?;Signal loss increases with increasing frequency;Signal loss increases with decreasing frequency;Signal loss is the least when the signal's wavelength is the same as the transmission line's length;Signal loss is the same for any frequency;Lorsque l'on fait varier la fréquence d'un signal, qu'arrive-t-il à la perte d'une ligne de transmission?;La perte augmente à mesure que la fréquence augmente;La perte augmente à mesure que la fréquence diminue;La perte de signal est très faible lorsque la longueur de la ligne équivaut à une longueur d'onde;La perte est la même, quelle que soit la fréquence
B-006-004-006;Losses occurring on a transmission line between transmitter and antenna results in:;less RF power being radiated;an SWR reading of 1:1;reflections occurring in the line;the wire radiating RF energy;Les pertes qui se produisent dans une ligne de transmission entre l'émetteur et l'antenne provoquent :;une diminution de la puissance RF rayonnée;un rapport d'onde stationnaire de 1:1;des réflexions dans la ligne;un rayonnement d'énergie RF à partir du conducteur
B-006-004-007;The lowest loss transmission line on HF is:;open wire line;75 ohm twin-lead;coaxial cable;300 ohm twin-lead;La ligne de transmission ayant les plus faibles pertes en HF est :;la ligne ouverte;la ligne bifilaire de 75 ohms;le câble coaxial;la ligne bifilaire de 300 ohms
B-006-004-008;In what values are RF transmission line losses expressed?;dB per unit length;Ohms per MHz;dB per MHz;Ohms per metre;Selon quelle valeur exprime-t-on les pertes RF dans les lignes de transmission?;En décibels par unité de longueur;En ohms par MHz;En décibels par MHz;En ohms par mètre
B-006-004-009;If the length of coaxial transmission line is increased from 20 metres (66 ft) to 40 metres (132 ft), how would this affect the line loss?;It would be increased by 100%;It would be reduced by 10%;It would be increased by 10%;It would be reduced to 50%;Si la longueur d'un câble coaxial qui sert à alimenter une antenne est augmentée de 20 mètres (66 pieds) à 40 mètres (132 pieds), quel sera l'effet sur la perte de la ligne?;Les pertes augmenteront de 100%;Les pertes diminueront de 10%;Les pertes augmenteront de 10%;Les pertes diminueront de 50%
B-006-004-010;If the frequency is increased, how would this affect the loss on a transmission line?;It would increase;It is independent of frequency;It depends on the line length;It would decrease;Si la fréquence est augmentée, quel sera l'effet sur la perte de la ligne de transmission?;Les pertes augmenteront;Les pertes sont indépendantes de la fréquence;Il faut connaître la longueur de la ligne;Les pertes diminueront
B-006-005-001;What does an SWR reading of 1:1 mean?;The best impedance match has been attained;An antenna for another frequency band is probably connected;No power is going to the antenna;The SWR meter is broken;Quelle est la signification d'une lecture 1:1 sur un ROS-mètre?;Un accord parfait d'impédance;Une antenne d'une autre bande de fréquence est probablement branchée;Aucune puissance au point d'alimentation de l'antenne;Le ROS-mètre ne fonctionne pas
B-006-005-002;What does an SWR reading of less than 1.5:1 mean?;A fairly good impedance match;An impedance match which is too low;A serious impedance mismatch, something may be wrong with the antenna system;An antenna gain of 1.5;Quelle est la signification d'une lecture de moins de 1,5:1 sur un ROS-mètre?;Un accord d'impédance tout à fait acceptable;Un accord d'impédance trop bas;Une désadaptation importante, il pourrait y avoir un problème dans le système d'antenne;Un gain d'antenne de 1,5
B-006-005-003;What kind of SWR reading may mean poor electrical contact between parts of an antenna system?;A jumpy reading;A negative reading;No reading at all;A very low reading;Quel genre de lecture sur un ROS-mètre pourrait indiquer un mauvais contact électrique dans le système d'antenne?;Une lecture erratique (en dents de scie);Une lecture négative;Aucune lecture;Une lecture très basse
B-006-005-004;What does a very high SWR reading mean?;The antenna is the wrong length for the operating frequency, or the transmission line may be open or short circuited;The transmitter is putting out more power than normal, showing that it is about to go bad;There is a large amount of solar radiation, which means very poor radio conditions;The signals coming from the antenna are unusually strong, which means very good radio condition;Quelle est la signification d'une lecture très élevée sur un ROS-mètre?;L'antenne n'est pas de la bonne longueur pour la fréquence d'opération ou, la ligne de transmission est ouverte ou court-circuitée;L'émetteur fournit une puissance anormalement élevée, indiquant un problème imminent;Il y a beaucoup de rayonnement solaire, et les conditions pour opérer sont mauvaises;Les signaux captés à l'antenne sont très forts, donc les conditions sont idéales pour opérer la radio
B-006-005-005;What does standing-wave ratio mean?;The ratio of maximum to minimum voltages on a transmission line;The ratio of maximum to minimum inductances on a transmission line;The ratio of maximum to minimum resistances on a transmission line;The ratio of maximum to minimum impedances on a transmission line;Que représente un rapport d'onde stationnaire?;Le rapport entre le maximum de voltage et le minimum de voltage sur une ligne de transmission;Le rapport entre le maximum d'inductance et le minimum d'inductance sur une ligne de transmission;Le rapport entre le maximum de résistance et le minimum de résistance sur une ligne de transmission;Le rapport entre le maximum d'impédance et le minimum d'impédance sur une ligne de transmission
B-006-005-006;If your antenna transmission line gets hot when you are transmitting, what might this mean?;The SWR may be too high, or the transmission line loss may be high;You should transmit using less power;The conductors in the transmission line are not insulated very well;The transmission line is too long;Si la ligne de transmission devient chaude lorsque vous émettez, quelle pourrait en être la raison?;Le ROS est trop élevé ou la perte de la ligne est trop importante;Vous devriez utiliser moins de puissance pour transmettre;Les conducteurs de la ligne sont mal isolés;La ligne est trop longue
B-006-005-007;If the characteristic impedance of the transmission line does not match the antenna input impedance then:;standing waves are produced in the transmission line;heat is produced at the junction;the SWR reading falls to 1:1;the antenna will not radiate any signal;Si l'impédance caractéristique de la ligne de transmission diffère de l'impédance d'entrée de l'antenne :;des ondes stationnaires apparaissent dans la ligne de transmission;on observe un échauffement à la jonction;le rapport d'onde stationnaire chute à 1:1;l'antenne ne rayonne aucun signal
B-006-005-008;The result of the presence of standing waves on a transmission line is:;reduced transfer of RF energy to the antenna;perfect impedance match between transmitter and transmission line;maximum transfer of energy to the antenna from the transmitter;lack of radiation from the transmission line;La présence d'ondes stationnaires dans la ligne de transmission :;donne un transfert réduit d'énergie RF vers l'antenne;indique une adaptation d'impédance optimale entre l'émetteur et la ligne de transmission;donne un transfert maximal d'énergie de l'émetteur à l'antenne;indique un manque de rayonnement de la ligne de transmission
B-006-005-009;An SWR meter measures the degree of match between transmission line and antenna by:;comparing forward and reflected voltage;measuring radiated RF energy;measuring the conductor temperature;inserting a diode in the transmission line;Un ROS-mètre mesure le degré d'adaptation entre la ligne de transmission et l'antenne en :;comparant la tension incidente et la tension réfléchie;mesurant l'énergie RF rayonnée;mesurant la température du conducteur;insérant une diode dans la ligne de transmission
B-006-005-010;A resonant antenna having a feed point impedance of 200 ohms is connected to a transmission line which has an impedance of 50 ohms. What will the standing wave ratio of this system be?;4:1;6:1;3:1;5:1;Une antenne résonante ayant une impédance de 200 ohms à son point d'alimentation est raccordée à une ligne de transmission de 50 ohms d'impédance. Quel est le rapport d'onde stationnaire de cet ensemble?;4:1;6:1;3:1;5:1
B-006-005-011;The type of transmission line best suited to operating at a high standing wave ratio is:;600 ohm open wire line;75 ohm twin-lead;coaxial line;300 ohm twin-lead;La ligne de transmission qui fonctionne le mieux à un rapport d'onde stationnaire élevé est :;la ligne ouverte de 600 ohms;la ligne bifilaire de 75 ohms;la ligne coaxiale;la ligne bifilaire de 300 ohms
B-006-006-001;What device might allow use of an antenna on a band it was not designed for?;An antenna tuner;An SWR meter;A low pass filter;A high pass filter;Quel appareil peut permettre à une antenne de fonctionner sur une bande différente de celle prévue?;Un bloc d'accord d'antenne;Un ROS-mètre;Un filtre passe-bas;Un filtre passe-haut
B-006-006-002;What does an antenna tuner do?;It matches a transceiver to a mismatched antenna system;It helps a receiver automatically tune in stations that are far away;It switches an antenna system to a transmitter when sending, and to a receiver when listening;It switches a transceiver between different kinds of antennas connected to one transmission line;Quel est le rôle du bloc d'accord d'antenne?;Il adapte l'émetteur à un système d'antenne non adapté;Il permet au récepteur de syntoniser automatiquement des stations éloignées;Il relie le système d'antenne à l'émetteur durant l'émission, et au récepteur durant la réception;Il branche l'émetteur sur différentes antennes qui sont reliées à la même ligne de transmission
B-006-006-003;What would you use to connect a coaxial cable of 50 ohms impedance to an antenna of 17 ohms impedance?;An impedance-matching device;An SWR meter;A low pass filter;A terminating resistor;Que faut-il utiliser pour relier un câble coaxial de 50 ohms d'impédance à une antenne de 17 ohms d'impédance?;Un adaptateur d'impédance;Un ROS-mètre;Un filtre passe-bas;Une résistance de terminaison
B-006-006-004;When will a power source deliver maximum output to the load?;When the impedance of the load is equal to the impedance of the source;When air wound transformers are used instead of iron-core transformers;When the power-supply fuse rating equals the primary winding current;When the load resistance is infinite;Sous quelle condition une source d'énergie transfère-t-elle le maximum de puissance à la charge?;Quand l'impédance de la charge est égale à l'impédance de la source;Quand les noyaux des transformateurs sont faits d'air au lieu de fer;Quand le fusible du bloc d'alimentation a la même valeur que le courant primaire;Quand la résistance de la charge est infinie
B-006-006-005;What happens when the impedance of an electrical load is equal to the internal impedance of the power source?;The source delivers maximum power to the load;The electrical load is shorted;No current can flow through the circuit;The source delivers minimum power to the load;Qu'arrive-t-il lorsque l'impédance d'une charge électrique est égale à l'impédance de la source d'énergie?;La source d'énergie fournit le maximum de puissance à la charge électrique;La charge électrique est court-circuitée;Aucun courant ne peut circuler dans le circuit;La source d'énergie fournit le minimum de puissance à la charge électrique
B-006-006-006;Why is impedance matching important?;So the source can deliver maximum power to the load;So the load will draw minimum power from the source;To ensure that there is less resistance than reactance in the circuit;To ensure that the resistance and reactance in the circuit are equal;Pourquoi est-il important d'accorder les impédances?;Pour que la source puisse fournir le maximum de puissance à la charge;Pour que la charge puisse tirer le moins de puissance possible de la source;Pour s'assurer qu'il y ait moins de résistance dans le circuit que de réactance;Pour s'assurer que la réactance du circuit est égale à la résistance du circuit
B-006-006-007;To obtain efficient power transmission from a transmitter to an antenna requires:;matching of impedances;high load impedance;low load resistance;inductive impedance;Pour obtenir une transmission efficace de puissance entre un émetteur et une antenne il faut :;une adaptation des impédances;une impédance de charge élevée;une faible résistance de charge;une impédance inductive
