B-004-002-005;The electrodes of a semiconductor diode are known as:;anode and cathode;gate and source;collector and base;cathode and drain;Les électrodes d'une diode à semi-conducteur s'appellent :;anode et cathode;porte et source;collecteur et base;cathode et drain
B-004-003-006;A semiconductor is described as a "general purpose audio NPN device". This would be:;a bipolar transistor;a silicon diode;a triode;an audio detector;Un semi-conducteur décrit comme étant un "composant NPN polyvalent pour fréquences audio" est :;un transistor bipolaire;une diode au silicium;une triode;un détecteur audio
B-004-003-007;The two basic types of bipolar transistors are:;NPN and PNP types;diode and triode types;varicap and Zener types;P and N channel types;Il existe deux types fondamentaux de transistors bipolaires :;NPN et PNP;diodes et triodes;varicap et Zener;canal P et canal N
B-004-003-008;A transistor can be destroyed in a circuit by:;excessive heat;excessive light;saturation;cut-off;Un transistor monté dans un circuit peut être détruit par :;un excès de chaleur;un excès de lumière;saturation;coupure
B-004-003-009;In a bipolar transistor, the _____________compares closest to the control grid of a triode vacuum tube.;base;emitter;source;collector;Dans un transistor bipolaire, _________ joue un rôle similaire à la grille de commande de la triode à vide.;la base;l'émetteur;la source;le collecteur
B-004-003-010;In a bipolar transistor, the _____________compares closest to the plate of a triode vacuum tube.;collector;gate;emitter;base;Dans un transistor bipolaire, ________ joue un rôle similaire à l'anode de la triode à vide.;le collecteur;la porte;l'émetteur;la base
B-004-003-011;In a bipolar transistor, the _____________ compares closest to the cathode of a triode vacuum tube.;emitter;collector;base;drain;Dans un transistor bipolaire, _______ joue un rôle similaire à la cathode d'une triode à vide.;l'émetteur;le collecteur;la base;le drain
B-004-004-001;The two basic types of field effect transistors (FET) are:;N and P channel;NPN and PNP;germanium and silicon;inductive and capacitive;Il existe deux types principaux de transistors à effet de champ :;à canal N et à canal P;NPN et PNP;au germanium et au silicium;inductifs et capacitifs
B-004-004-002;A semiconductor having its leads labelled gate, drain, and source is best described as a:;field-effect transistor;gated transistor;bipolar transistor;silicon diode;Le composant semi-conducteur comportant une porte, un drain et une source s'appelle :;transistor à effet de champ;transistor à porte;transistor bipolaire;diode au silicium
B-004-004-003;In a field effect transistor, the ___________ is the terminal that controls the conductance of the channel.;gate;drain;source;collector;Dans un transistor à effet de champ, _______ est la borne qui commande la conductance du canal.;la porte;le drain;la source;le collecteur
B-004-004-004;In a field effect transistor, the ___________is the terminal where the charge carriers enter the channel.;source;gate;drain;emitter;Dans un transistor à effet de champ, ________ est la borne où les porteurs de charge entrent dans le canal.;la source;la porte;le drain;l'émetteur
B-004-004-005;In a field effect transistor, the __________ is the terminal where the charge carriers leave the channel.;drain;collector;source;gate;Dans un transistor à effet de champ, ___________ est la borne où les porteurs de charge sortent du canal.;le drain;le collecteur;la source;la grille
B-004-004-006;Which semiconductor device has characteristics most similar to a triode vacuum tube?;Field effect transistor;Junction diode;Zener diode;Bipolar transistor;Lequel des semi-conducteurs possède des caractéristiques similaires à la triode à vide?;Le transistor à effet de champ;La diode à jonction;La diode Zener;Le transistor bipolaire
B-004-004-007;The control element in the field effect transistor is the:;gate;source;drain;base;L'élément de contrôle dans un transistor à effet de champ est :;la porte;la source;le drain;la base
B-004-004-008;If you wish to reduce the current flowing in a field effect transistor, you could:;increase the reverse bias voltage;decrease the reverse bias voltage;increase the forward bias voltage;increase the forward bias gain;Si vous voulez diminuer la circulation du courant dans un transistor à effet de champ, vous pouvez :;augmenter la tension de polarisation inverse;diminuer la tension de polarisation inverse;augmenter la tension de polarisation directe;augmenter le gain de polarisation directe
B-004-004-009;The source of a field effect transistor corresponds to the _______ of a bipolar transistor.;emitter;base;drain;collector;La source du transistor à effet de champ correspond ____ du transistor bipolaire.;à l'émetteur;à la base;au drain;au collecteur
B-004-004-010;The drain of a field effect transistor corresponds to the _______ of a bipolar transistor.;collector;base;source;emitter;Le drain du transistor à effet de champ correspond _____ du transistor bipolaire.;au collecteur;à la base;à la source;à l'émetteur
B-004-004-011;Which two elements in a field effect transistor exhibit fairly similar characteristics?;Source and drain;Source and gate;Gate and drain;Source and base;Quels sont les deux éléments du transistor à effet de champ qui présentent des caractéristiques similaires?;La source et le drain;La source et la porte;La porte et le drain;La source et la base
B-004-005-001;What is one reason a triode vacuum tube might be used instead of a transistor in a circuit?;It may be able to handle higher power;It uses less current;It is much smaller;It uses lower voltages;Pourquoi peut-il être avantageux d'utiliser une triode à vide au lieu d'un transistor dans un circuit?;Elle pourrait être capable de supporter une plus grande puissance;Elle utilise moins de courant;Elle est beaucoup plus petite;Elle utilise un bas voltage
B-004-005-002;Which component can amplify a small signal but must use high voltages?;A vacuum tube;A transistor;An electrolytic capacitor;A multiple-cell battery;Quel composant peut amplifier un faible signal, mais doit utiliser un haut voltage?;Un tube à vide;Un transistor;Un condensateur électrolytique;Une batterie à plusieurs cellules
B-004-005-003;A feature common to triode tubes and transistors is that both:;can amplify signals;have electrons drifting through a vacuum;convert electrical energy to radio waves;use heat to cause electron movement;Les triodes à vide et les transistors ont en commun la caractéristique suivante :;ils peuvent amplifier des signaux;ils utilisent la dérive des électrons dans le vide;ils convertissent l'énergie électrique en ondes radio;ils utilisent la chaleur pour créer le mouvement des électrons
B-004-005-004;In a vacuum tube, the electrode that is operated with the highest positive potential is the _________.;plate;filament (heater);cathode;grid;Dans un tube à vide, l'électrode qui fonctionne avec le potentiel positif le plus élevé est _________.;la plaque;le filament (chauffage);la cathode;la grille
B-004-005-005;In a vacuum tube, the electrode that is usually a cylinder of wire mesh is the _______.;grid;filament (heater);cathode;plate;Dans un tube à vide, l'électrode habituellement en forme de cylindre de treillis métallique est _______.;la grille;le filament (chauffage);la cathode;l'anode
B-004-005-006;In a vacuum tube, the element that is furthest away from the plate is the __________.;filament (heater);grid;emitter;cathode;Dans un tube à vide, l'élément le plus éloigné de l'anode est _________.;le filament (chauffage);la grille;l'émetteur;la cathode
B-004-005-007;In a vacuum tube, the electrode that emits electrons is the __________.;cathode;grid;collector;plate;Dans un tube à vide, l'électrode qui émet des électrons est ___________.;la cathode;la grille;le collecteur;l'anode
B-004-005-008;What is inside the envelope of a triode tube?;A vacuum;Argon;Air;Neon;Que trouve-t-on à l'intérieur d'une triode?;Vide;Argon;Air;Néon
B-004-005-009;How many grids are there in a triode vacuum tube?;One;Two;Three;Three plus a filament;Combien y a-t-il de grilles dans une triode?;Une;Deux;Trois;Trois, plus un filament
B-004-006-001;How do you find a resistor's tolerance rating?;By reading the resistor's colour code;By using Thevenin's theorem for resistors;By reading its Baudot code;By using a voltmeter;Comment peut-on déterminer le taux de tolérance d'une résistance?;En lisant le code de couleur sur la résistance;En utilisant le théorème de Thévenin s'appliquant aux résistances;En lisant son code Baudot;En utilisant un voltmètre
B-004-006-002;What do the first three-colour bands on a resistor indicate?;The value of the resistor in ohms;The resistance material;The power rating in watts;The resistance tolerance in percent;Que signifient les trois premières bandes de couleur sur une résistance?;La valeur de la résistance exprimée en ohms;La matière dont est faite la résistance (sa composition);La puissance nominale en watts;Le pourcentage de tolérance de la résistance
B-004-006-003;What would the fourth colour band on a 47 ohm resistor indicate?;The resistance tolerance in percent;The value of the resistor in ohms;The power rating in watts;The resistance material;Que signifierait une quatrième bande de couleur sur une résistance de 47 ohms?;Le pourcentage de tolérance de la résistance;La valeur de la résistance exprimée en ohms;La puissance nominale en watts;La matière dont est faite la résistance (sa composition)
B-004-006-004;What are the possible values of a 100 ohm resistor with a 10% tolerance?;90 to 110 ohms;90 to 100 ohms;10 to 100 ohms;80 to 120 ohms;Quelles sont les valeurs possibles d'une résistance de 100 ohms dont la tolérance est de 10 %?;De 90 à 110 ohms;De 90 à 100 ohms;De 10 à 100 ohms;De 80 à 120 ohms
B-004-006-005;How do you find a resistor's value?;By using the resistor's colour code;By using a voltmeter;By using Thevenin's theorem for resistors;By using the Baudot code;Comment trouvez-vous la valeur d'une résistance?;En employant le code de couleur des résistances;En employant un voltmètre;En employant le théorème de Thévenin pour les résistances;En employant le code Baudot
B-004-006-006;A club project requires that a resistive voltage divider provide a very accurate and predictable ratio. Out of the list below, which resistor tolerance would you select?;0.1%;5%;10%;20%;Un projet de votre club local suppose l'assemblage de plusieurs diviseurs de tension d'un rapport précis et prévisible. De la liste ci-dessous, quelle tolérance choisiriez-vous pour les résistances?;0,1 %;5 %;10 %;20 %
B-004-006-007;You need a current limiting resistor for a light-emitting diode (LED). The actual resistance is not critical at all. Out of the list below, which resistor tolerance would you select?;20%;0.1%;5%;10%;Vous avez besoin d'une résistance pour alimenter une diode électroluminescente (DEL). La valeur de résistance réelle importe peu. De la liste ci-dessous, quelle tolérance choisiriez-vous pour cette résistance?;20 %;0,1 %;5 %;10 %
B-004-006-008;If a carbon resistor's temperature is increased, what will happen to the resistance?;It will change depending on the resistor's temperature coefficient rating;It will stay the same;It will become time dependent;It will increase by 20% for every 10 degrees centigrade;Qu'arrive-t-il à une résistance au carbone lorsque sa température augmente?;Sa valeur de résistance changera selon son coefficient de température;Sa résistance reste la même;Sa résistance devient dépendante du temps;Sa résistance augmente de 20 % par tranche de 10 degrés C
B-004-006-009;A gold tolerance band on a resistor indicates the tolerance is:;5%;20%;10%;1%;Un anneau de tolérance de couleur or sur une résistance indique une tolérance de :;5 %;20 %;10 %;1 %
B-004-006-010;Which colour band would differentiate a 120-ohm from a 1200-ohm resistor?;Third band;First band;Second band;Fourth band;Quelle bande de couleur différencie deux résistances, respectivement de 120 et 1200 ohms?;Troisième;Première;Seconde;Quatrième
B-004-006-011;Given that red=2, violet=7 and yellow=4, what is the nominal value of a resistor whose colour code reads "red", "violet" and "yellow"?;270 kilohms;274 ohms;72 kilohms;27 megohms;Étant donné que le rouge = 2, le violet = 7 et le jaune = 4, quelle est la valeur nominale d'une résistance dont le code de couleur se lit "rouge, violet, jaune"?;270 kilohms;274 ohms;72 kilohms;27 mégohms
B-005-001-001;If a dial marked in megahertz shows a reading of 3.525 MHz, what would it show if it were marked in kilohertz?;3525 kHz;35.25 kHz;3 525 000 kHz;0.003525 kHz;Un cadran indique 3,525 mégahertz. Qu'indiquerait-il en kilohertz?;3 525 kHz;35,25 kHz;3 525 000 kHz;0,003 525 kHz
B-005-001-002;If an ammeter marked in amperes is used to measure a 3000 milliampere current, what reading would it show?;3 amperes;0.003 ampere;0.3 ampere;3 000 000 amperes;Si on veut mesurer un courant de 3 000 milliampères avec un ampèremètre calibré en ampères, quelle lecture obtiendra-t-on?;3 ampères;0,003 ampère;0,3 ampère;3 000 000 ampères
