A-001-001-001;What is the meaning of the term "time constant" in an RL circuit ?;The time required for the current in the circuit to build up to 63.2% of the maximum value;The time required for the current in the circuit to build up to 36.8% of the maximum value;The time required for the voltage in the circuit to build up to 63.2% of the maximum value;The time required for the voltage in the circuit to build up to 36.8% of the maximum value;Comment se définit la constante de temps dans un circuit RL ?;Le temps requis pour que le courant du circuit atteigne 63,2 % de sa valeur maximale;Le temps requis pour que le courant du circuit atteigne 36,8 % de sa valeur maximale;Le temps requis pour que la tension du circuit atteigne 63,2 % de sa valeur maximale;Le temps requis pour que la tension du circuit atteigne 36,8 % de sa valeur maximale
A-001-002-002;What effect causes most of an RF current to flow along the surface of a conductor?;Skin effect;Piezoelectric effect;Resonance effect;Layer effect;Comment s'appelle l'effet produit lorsque le courant RF circule près de la surface du conducteur?;L'effet pelliculaire ("skin effect");L'effet piézo-électrique;L'effet de résonance;L'effet de couche
A-001-002-003;Where does almost all RF current flow in a conductor?;Along the surface of the conductor;In a magnetic field in the centre of the conductor;In a magnetic field around the conductor;In the centre of the conductor;Où circule la majeure partie du courant RF dans un conducteur?;Le long de la surface du conducteur;Dans un champ magnétique au centre du conducteur;Dans un champ magnétique autour du conducteur;Au centre du conducteur
A-001-002-004;Why does most of an RF current flow within a very thin layer under the conductor's surface?;Because of skin effect;Because the RF resistance of a conductor is much less than the DC resistance;Because a conductor has AC resistance due to self-inductance;Because of heating of the conductor's interior;Pourquoi la majeure partie du courant RF circule-t-elle dans une mince couche à la surface du conducteur?;En raison de l'effet pelliculaire ("skin effect");Parce que la résistance RF d'un conducteur est moins grande que la résistance sous courant continu;Parce qu'un conducteur, sous courant alternatif, a une résistance en raison de sa propre inductance;En raison d'un échauffement de l'intérieur du conducteur
A-001-002-005;Why is the resistance of a conductor different for RF currents than for direct currents?;Because of skin effect;Because of the Hertzberg effect;Because conductors are non-linear devices;Because the insulation conducts current at high frequencies;Pourquoi la résistance d'un conducteur diffère-t-elle lorsqu'il s'agit de courant RF au lieu de courant continu?;En raison de l'effet pelliculaire ("skin effect");En raison de l'effet d'Hertzberg;Parce que les conducteurs ne sont pas des dispositifs linéaires;Parce que l'isolant conduit le courant aux hautes fréquences
A-001-002-006;What unit measures the ability of a capacitor to store electrical charge?;Farad;Coulomb;Watt;Volt;Quelle unité mesure l'aptitude d'un condensateur à emmagasiner une charge électrique?;Farad;Coulomb;Watt;Volt
A-001-002-007;A wire has a current passing through it. Surrounding this wire there is:;an electromagnetic field;an electrostatic field;a cloud of electrons;a skin effect that diminishes with distance;Un courant circule dans un fil conducteur. Que trouve-t-on autour de ce fil?;Un champ électromagnétique;Un champ électrostatique;Un nuage d'électrons;Un effet pelliculaire ("skin effect") qui diminue avec la distance
A-001-002-008;In what direction is the magnetic field oriented about a conductor in relation to the direction of electron flow?;In the direction determined by the left-hand rule;In all directions;In the same direction as the current;In the direct opposite to the current;Dans quelle direction est orienté le champ magnétique autour d'un conducteur par rapport à la direction de la circulation des électrons?;Dans la direction déterminée par la règle de la main gauche;Dans toutes les directions;Dans la même direction que le courant;Dans la direction opposée au courant
A-001-002-009;What is the term for energy that is stored in an electromagnetic or electrostatic field?;Potential energy;Kinetic energy;Ampere-joules;Joule-coulombs;Comment appelle-t-on l'énergie emmagasinée dans un champ électromagnétique ou électrostatique?;L'énergie potentielle;L'énergie cinétique;Les ampères-joules;Les joules-coulombs
A-001-002-010;Between the charged plates of a capacitor there is:;an electrostatic field;a magnetic field;a cloud of electrons;an electric current;Que trouve-t-on entre les plaques d'un condensateur?;Un champ électrostatique;Un champ magnétique;Un nuage d'électrons;Un courant électrique
A-001-002-011;Energy is stored within an inductor that is carrying a current. The amount of energy depends on this current, but it also depends on a property of the inductor. This property has the following unit:;henry;coulomb;farad;watt;Une bobine, où circule un courant, emmagasine de l'énergie. La quantité d'énergie est influencée par le courant, mais aussi par une propriété de la bobine. Quelle unité caractérise cette propriété?;Henry;Coulomb;Farad;Watt
A-001-003-001;What is the resonant frequency of a series RLC circuit if R is 47 ohms, L is 50 microhenrys and C is 40 picofarads?;3.56 MHz;1.78 MHz;7.96 MHz;79.6 MHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 50 microhenrys et C = 40 picofarads?;3,56 MHz;1,78 MHz;7,96 MHz;79,6 MHz
A-001-003-002;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 40 microhenrys and C is 200 picofarads?;1.78 MHz;1.99 kHz;1.99 MHz;1.78 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 40 microhenrys et C = 200 picofarads?;1,78 MHz;1,99 kHz;1,99 MHz;1,78 kHz
A-001-003-003;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 50 microhenrys and C is 10 picofarads?;7.12 MHz;7.12 kHz;3.18 MHz;3.18 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 50 microhenrys et C = 10 picofarads?;7,12 MHz;7,12 kHz;3,18 MHz;3,18 kHz
A-001-003-004;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 25 microhenrys and C is 10 picofarads?;10.1 MHz;63.7 MHz;10.1 kHz;63.7 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 25 microhenrys et C = 10 picofarads?;10,1 MHz;63,7 MHz;10,1 kHz;63,7 kHz
A-001-003-005;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 3 microhenrys and C is 40 picofarads?;14.5 MHz;13.1 MHz;13.1 kHz;14.5 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 3 microhenrys et C = 40 picofarads?;14,5 MHz;13,1 MHz;13,1 kHz;14,5 kHz
A-001-003-006;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 4 microhenrys and C is 20 picofarads?;17.8 MHz;19.9 MHz;19.9 kHz;17.8 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 4 microhenrys et C= 20 picofarads?;17,8 MHz;19,9 MHz;19,9 kHz;17,8 kHz
A-001-003-007;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 8 microhenrys and C is 7 picofarads?;21.3 MHz;28.4 MHz;2.84 MHz;2.13 MHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 8 microhenrys et C = 7 picofarads?;21,3 MHz;28,4 MHz;2,84 MHz;2,13 MHz
A-001-003-008;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 3 microhenrys and C is 15 picofarads?;23.7 MHz;35.4 MHz;35.4 kHz;23.7 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 3 microhenrys et C = 15 picofarads?;23,7 MHz;35,4 MHz;35,4 kHz;23,7 kHz
A-001-003-009;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 4 microhenrys and C is 8 picofarads?;28.1 MHz;49.7 MHz;49.7 kHz;28.1 kHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 4 microhenrys et C = 8 picofarads?;28,1 MHz;49,7 MHz;49,7 kHz;28,1 kHz
A-001-003-010;What is the resonant frequency of a series RLC circuit, if R is 47 ohms, L is 1 microhenry and C is 9 picofarads?;53.1 MHz;5.31 MHz;17.7 MHz;1.77 MHz;Quelle est la fréquence de résonance d'un circuit RLC en série si R = 47 ohms, L = 1 microhenry et C = 9 picofarads?;53,1 MHz;5,31 MHz;17,7 MHz;1,77 MHz
A-001-003-011;What is the value of capacitance (C) in a series R-L-C circuit, if the circuit resonant frequency is 14.25 MHz and L is 2.84 microhenrys?;44 picofarads;2.2 microfarads;44 microfarads;2.2 picofarads;Quel est la valeur de la capacité (C) dans un circuit RLC en série si la fréquence de résonance du circuit est 14,25 MHz et L = 2,84 microhenrys?;44 picofarads;2,2 microfarads;44 microfarads;2,2 picofarads
A-001-004-001;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 1 microhenry and C is 10 picofarads?;50.3 MHz;15.9 kHz;50.3 kHz;15.9 MHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 1 microhenry et C = 10 picofarads?;50,3 MHz;15,9 kHz;50,3 kHz;15,9 MHz
A-001-004-002;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 2 microhenrys and C is 15 picofarads?;29.1 MHz;29.1 kHz;5.31 MHz;5.31 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 2 microhenrys et C = 15 picofarads?;29,1 MHz;29,1 kHz;5,31 MHz;5,31 kHz
A-001-004-003;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 5 microhenrys and C is 9 picofarads?;23.7 MHz;23.7 kHz;3.54 MHz;3.54 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 5 microhenrys et C = 9 picofarads?;23,7 MHz;23,7 kHz;3,54 MHz;3,54 kHz
A-001-004-004;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 2 microhenrys and C is 30 picofarads?;20.5 MHz;2.65 MHz;2.65 kHz;20.5 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 2 microhenrys et C = 30 picofarads?;20,5 MHz;2,65 MHz;2,65 kHz;20,5 kHz
A-001-004-005;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 15 microhenrys and C is 5 picofarads?;18.4 MHz;2.12 kHz;2.12 MHz;18.4 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 15 microhenrys et C = 5 picofarads?;18,4 MHz;2,12 kHz;2,12 MHz;18,4 kHz
A-001-004-006;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 3 microhenrys and C is 40 picofarads?;14.5 MHz;1.33 kHz;1.33 MHz;14.5 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 3 microhenrys et C = 40 picofarads?;14,5 MHz;1,33 kHz;1,33 MHz;14,5 kHz
A-001-004-007;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 40 microhenrys and C is 6 picofarads?;10.3 MHz;6.63 MHz;6.63 kHz;10.3 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 40 microhenrys et C = 6 picofarads?;10,3 MHz;6,63 MHz;6,63 kHz;10,3 kHz
A-001-004-008;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 10 microhenrys and C is 50 picofarads?;7.12 MHz;7.12 kHz;3.18 MHz;3.18 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 10 microhenrys et C = 50 picofarads?;7,12 MHz;7,12 kHz;3,18 MHz;3,18 kHz
A-001-004-009;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 200 microhenrys and C is 10 picofarads?;3.56 MHz;3.56 kHz;7.96 MHz;7.96 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 200 microhenrys et C = 10 picofarads?;3,56 MHz;3,56 kHz;7,96 MHz;7,96 kHz
A-001-004-010;What is the resonant frequency of a parallel RLC circuit if R is 4.7 kilohms, L is 90 microhenrys and C is 100 picofarads?;1.68 MHz;1.77 kHz;1.77 MHz;1.68 kHz;Quelle est la fréquence de résonance d'un circuit RLC parallèle si R = 4,7 kilohms, L = 90 microhenrys et C = 100 picofarads?;1,68 MHz;1,77 kHz;1,77 MHz;1,68 kHz
A-001-004-011;What is the value of inductance (L) in a parallel RLC circuit, if the resonant frequency is 14.25 MHz and C is 44 picofarads?;2.8 microhenrys;253.8 millihenrys;3.9 millihenrys;0.353 microhenry;Quelle est la valeur de l'inductance (L) dans un circuit RLC parallèle, si la fréquence de résonance est 14,25 MHz et C = 44 picofarads?;2,8 microhenrys;253,8 millihenrys;3,9 millihenrys;0,353 microhenry
A-001-005-001;What is the Q of a parallel RLC circuit, if it is resonant at 14.128 MHz, L is 2.7 microhenrys and R is 18 kilohms?;75.1;7.51;0.013;71.5;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 14,128 MHz, L= 2,7 microhenrys et R = 18 kilohms?;75,1;7,51;0,013;71,5
A-001-005-002;What is the Q of a parallel RLC circuit, if it is resonant at 14.128 MHz, L is 4.7 microhenrys and R is 18 kilohms?;43.1;13.3;0.023;4.31;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 14,128 MHz, L = 4,7 microhenrys et R = 18 kilohms?;43,1;13,3;0,023;4,31
A-001-005-003;What is the Q of a parallel RLC circuit, if it is resonant at 4.468 MHz, L is 47 microhenrys and R is 180 ohms?;0.136;7.35;0.00735;13.3;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 4,468 MHz, L = 47 microhenrys et R = 180 ohms?;0,136;7,35;0,00735;13,3
A-001-005-004;What is the Q of a parallel RLC circuit, if it is resonant at 14.225 MHz, L is 3.5 microhenrys and R is 10 kilohms?;31.9;7.35;0.0319;71.5;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 14,225 MHz, L = 3,5 microhenrys et R = 10 kilohms?;31,9;7,35;0,0319;71,5
A-001-005-005;What is the Q of a parallel RLC circuit, if it is resonant at 7.125 MHz, L is 8.2 microhenrys and R is 1 kilohm?;2.73;36.8;0.368;0.273;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 7,125 MHz, L = 8,2 microhenrys et R = 1 kilohm?;2,73;36,8;0,368;0,273
A-001-005-006;What is the Q of a parallel RLC circuit, if it is resonant at 7.125 MHz, L is 10.1 microhenrys and R is 100 ohms?;0.221;22.1;0.00452;4.52;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 7,125 MHz, L = 10,1 microhenrys et R = 100 ohms?;0,221;22,1;0,00452;4,52
A-001-005-007;What is the Q of a parallel RLC circuit, if it is resonant at 7.125 MHz, L is 12.6 microhenrys and R is 22 kilohms?;39;22.1;0.0256;25.6;Quel est le facteur de qualité (Q) d'un circuit RLC parallèle quand la résonance = 7,125 MHz, L = 12,6 microhenrys et R = 22 kilohms?;39;22,1;0,0256;25,6
