A-007-001-001;For an antenna tuner of the "Transformer" type, which of the following statements is FALSE?;The circuit is known as a Pi-type antenna tuner;The input is suitable for 50 ohm impedance;The output is suitable for impedances from low to high;The circuit is known as a transformer-type antenna tuner;Pour un bloc d'accord d'antenne de type "transformateur", lequel des énoncés suivants est FAUX?;C'est un bloc d'accord d'antenne en pi;L'entrée convient à une impédance de 50 ohms;La sortie convient à des impédances allant de basses à hautes;C'est un bloc d'accord d'antenne de type transformateur
A-007-002-001;What kind of impedance does a quarter wavelength transmission line present to the source when the line is shorted at the far end?;A very high impedance;The same as the characteristic impedance of the transmission line;The same as the output impedance of the source;A very low impedance;Quel genre d'impédance une ligne de transmission d'un quart de longueur d'onde présente-t-elle à la source lorsque cette ligne est court-circuitée à l'extrémité?;Une très haute impédance;La même impédance que l'impédance caractéristique de la ligne de transmission;L'impédance de sortie de la source;Une très basse impédance
A-007-002-002;What kind of impedance does a quarter wavelength transmission line present to the source if the line is open at the far end?;A very low impedance;A very high impedance;The same as the output impedance of the source;The same as the characteristic impedance of the transmission line;Quel genre d'impédance une ligne de transmission d'un quart de longueur d'onde présente-t-elle à la source lorsque la ligne est ouverte à l'extrémité?;Une très basse impédance;Une très haute impédance;La même impédance que l'impédance de sortie de la source;La même impédance que l'impédance caractéristique de la ligne de transmission
A-007-002-003;What kind of impedance does a half wavelength transmission line present to the source when the line is open at the far end?;A very high impedance;The same as the characteristic impedance of the transmission line;The same as the output impedance of the source;A very low impedance;Quel genre d'impédance une ligne de transmission d'une demi-longueur d'onde présente-t-elle à la source lorsque la ligne est ouverte à l'extrémité?;Une très haute impédance;La même impédance que l'impédance caractéristique de la ligne de transmission;La même impédance que l'impédance de sortie de la source;Une très basse impédance
A-007-002-004;What kind of impedance does a half wavelength transmission line present to the source when the line is shorted at the far end?;A very low impedance;A very high impedance;The same as the characteristic impedance of the transmission line;The same as the output impedance of the source;Quel genre d'impédance une ligne de transmission d'une demi-longueur d'onde présente-t-elle à la source lorsque cette ligne est court-circuitée à l'extrémité?;Une très basse impédance;Une très haute impédance;La même impédance que l'impédance caractéristique de la ligne de transmission;La même impédance que l'impédance de sortie de la source
A-007-002-005;What is the velocity factor of a transmission line?;The velocity of the wave on the transmission line divided by the velocity of light;The velocity of the wave on the transmission line multiplied by the velocity of light in a vacuum;The index of shielding for coaxial cable;The ratio of the characteristic impedance of the line to the terminating impedance;Qu'est-ce que le facteur de vélocité d'une ligne de transmission?;La vitesse de l'onde dans la ligne de transmission divisée par la vitesse de la lumière;La vitesse de l'onde dans la ligne de transmission multipliée par la vitesse de la lumière dans le vide;L'indice de blindage du câble coaxial;Le rapport de l'impédance caractéristique d'une ligne de transmission et de l'impédance de terminaison
A-007-002-006;What is the term for the ratio of the actual velocity at which a signal travels through a transmission line to the speed of light in a vacuum?;Velocity factor;Characteristic impedance;Surge impedance;Standing wave ratio;Quel est le terme utilisé pour exprimer le rapport entre la vitesse de l'onde dans la ligne de transmission et la vitesse de la lumière dans le vide?;Le facteur de vélocité;L'impédance caractéristique;L'impédance de pointe;Le rapport d'onde stationnaire
A-007-002-007;What is a typical velocity factor for coaxial cable with polyethylene dielectric?;0.66;0.33;0.1;2.7;Quel est le facteur de vélocité typique d'un câble coaxial ayant un diélectrique en polyéthylène?;0,66;0,33;0,1;2,7
A-007-002-008;What determines the velocity factor in a transmission line?;Dielectrics in the line;The line length;The centre conductor resistivity;The terminal impedance;Qu'est-ce qui détermine le facteur de vélocité d'une ligne de transmission?;Le diélectrique de la ligne;La longueur de la ligne;La résistivité du conducteur central;L'impédance terminale
A-007-002-009;Why is the physical length of a coaxial cable shorter than its electrical length?;RF energy moves slower along the coaxial cable than in air;The surge impedance is higher in the parallel transmission line;Skin effect is less pronounced in the coaxial cable;The characteristic impedance is higher in a parallel transmission line;Pourquoi la longueur physique d'un câble coaxial est-elle plus courte que sa longueur électrique?;L'énergie RF voyage plus lentement dans le câble coaxial que dans l'air;L'impédance de pointe est plus grande dans une ligne de transmission parallèle;L'effet pelliculaire ("skin effect") est moins prononcé dans un câble coaxial;L'impédance caractéristique est plus élevée dans une ligne de transmission parallèle
A-007-002-010;The reciprocal of the square root of the dielectric constant of the material used to separate the conductors in a transmission line gives the ____________ of the line:;velocity factor;VSWR;impedance;hermetic losses;L'inverse de la racine carrée de la constante diélectrique de l'isolant utilisé pour séparer les conducteurs d'une ligne de transmission donne :;le facteur de vélocité de la ligne;le rapport d'onde stationnaire (ROS) de la ligne;l'impédance de la ligne;les pertes hermétiques de la ligne
A-007-002-011;The velocity factor of a transmission line is the:;ratio of the velocity of propagation in the transmission line to the velocity of propagation in free space;impedance of the line, e.g. 50 ohm, 75 ohm, etc.;speed at which the signal travels in free space;speed to which the standing waves are reflected back to the transmitter;Le facteur de vélocité d'une ligne de transmission est :;Le rapport de la vitesse de propagation des ondes mesurée dans une ligne de transmission et celle mesurée en espace libre ("free space");L'impédance de la ligne, par exemple : 50 ohms, 75 ohms, etc.;La vitesse à laquelle les ondes se propagent dans l'espace libre;La vitesse à laquelle les ondes stationnaires sont réfléchies vers l'émetteur
A-007-003-001;What term describes a method used to match a high-impedance transmission line to a lower impedance antenna by connecting the line to the driven element in two places, spaced a fraction of a wavelength on each side of the driven element centre?;The T match;The gamma match;The omega match;The stub match;Quel terme décrit la méthode employée pour accorder l'impédance élevée d'une ligne de transmission à la basse impédance d'une antenne en reliant la ligne à l'élément alimenté à deux endroits situés à une fraction de longueur d'onde, de chaque côté du centre de l'élément?;Un adaptateur en T;Un adaptateur gamma;Un adaptateur oméga;Un adaptateur à segment de ligne ("stub")
A-007-003-002;What term describes an unbalanced feed system in which the driven element of an antenna is fed both at the centre and a fraction of a wavelength to one side of centre?;The gamma match;The omega match;The stub match;The T match;Quel terme décrit le raccordement d'une ligne asymétrique à l'élément alimenté d'une antenne lorsque ce branchement est fait à la fois au centre de l'élément et à une fraction de longueur d'onde sur un côté de l'élément?;L'adaptateur gamma;L'adaptateur oméga;L'adaptateur à segment de ligne ("stub");L'adaptateur en T
A-007-003-003;What term describes a method of antenna impedance matching that uses a short section of transmission line connected to the antenna transmission line near the antenna and perpendicular to the transmission line?;The stub match;The omega match;The delta match;The gamma match;Quel terme décrit l'adaptateur d'impédance qui utilise une courte section de ligne de transmission dont une extrémité est branchée en parallèle à un point précis sur la ligne qui alimente l'antenne?;Un adaptateur à segment de ligne ("stub");Un adaptateur oméga;Un adaptateur delta;Un adaptateur gamma
A-007-003-004;Assuming a velocity factor of 0.66 what would be the physical length of a typical coaxial stub that is electrically one quarter wavelength long at 14.1 MHz?;3.51 metres (11.5 feet);20 metres (65.6 feet);2.33 metres (7.64 feet);0.25 metre (0.82 foot);En supposant 0,66 comme facteur de vélocité, quelle devrait être la longueur physique d'une ligne d'adaptation d'une longueur électrique d'un quart de longueur d'onde à 14,100 MHz?;3,51 mètres (11,5 pieds);20 mètres (65,6 pieds);2,33 mètres (7,64 pieds);0,25 mètre (0,82 pied)
A-007-003-005;The driven element of a Yagi antenna is connected to a coaxial transmission line. The coax braid is connected to the centre of the driven element and the centre conductor is connected to a variable capacitor in series with an adjustable mechanical arrangement on one side of the driven element. The type of matching is:;gamma match;lambda match;T match;zeta match;L'élément alimenté d'une antenne Yagi est connecté à une ligne de transmission coaxiale. La tresse de la ligne coaxiale est connectée au centre de l'élément alimenté, et le conducteur central est connecté en série d'un côté de l'élément alimenté à un condensateur variable à l'aide d'un dispositif mécanique. Le type d'adaptation est :;gamma;lambda;en "T";zêta
A-007-003-006;A quarter-wave stub, for use at 15 MHz, is made from a coaxial cable having a velocity factor of 0.8. Its physical length will be:;4 m (13.1 ft);12 m (39.4 ft);8 m (26.2 ft);7.5 m (24.6 ft);Un adaptateur d'un quart de longueur d'onde, pour utilisation à 15 MHz, est fabriqué à partir d'un câble coaxial dont le facteur de vélocité est 0,8. Sa longueur physique sera de :;4 m (13,1 pieds);12 m (39,4 pieds);8 m (26,2 pieds);7,5 m (24,6 pieds)
A-007-003-007;The matching of a driven element with a single adjustable mechanical and capacitive arrangement is descriptive of:;a "gamma" match;a "T" match;an "omega" match;a "Y" match;L'adaptation d'un élément alimenté réalisée à l'aide d'un seul dispositif mécanique et capacitif réglable décrit une :;adaptation "gamma";adaptation en "T";adaptation "oméga";adaptation en "Y"
A-007-003-008;A Yagi antenna uses a gamma match. The coaxial braid connects to:;the centre of the driven element;the variable capacitor;the adjustable gamma rod;the centre of the reflector;Une antenne Yagi utilise une adaptation "gamma". La tresse de la ligne coaxiale est connectée :;au centre de l'élément alimenté;au condensateur variable;à la tige "gamma" réglable;au centre du réflecteur
A-007-003-009;A Yagi antenna uses a gamma match. The centre of the driven element connects to:;the coaxial line braid;the coaxial line centre conductor;the adjustable gamma rod;a variable capacitor;Une antenne Yagi utilise une adaptation "gamma". Le centre de l'élément alimenté est connecté :;à la tresse de la ligne coaxiale;au conducteur central de la ligne coaxiale;à la tige "gamma" réglable;au condensateur variable
A-007-003-010;A Yagi antenna uses a gamma match. The adjustable gamma rod connects to:;the variable capacitor;the coaxial line centre conductor;an adjustable point on the reflector;the centre of the driven element;Une antenne Yagi utilise une adaptation "gamma". La tige "gamma" réglable est connectée :;au condensateur variable;au conducteur central de la ligne coaxiale;à un point réglable du réflecteur;au centre de l'élément alimenté
A-007-003-011;A Yagi antenna uses a gamma match. The variable capacitor connects to the:;adjustable gamma rod;an adjustable point on the director;center of the driven element;coaxial line braid;Une antenne Yagi utilise une adaptation "gamma". Le condensateur variable est connecté :;à la tige "gamma" réglable;à un point réglable sur le directeur;au centre de l'élément alimenté;à la tresse de la ligne coaxiale
A-007-004-001;In a half-wave dipole, the distribution of _______ is highest at each end.;voltage;current;inductance;capacitance;Dans un dipôle demi-onde, la distribution __________ est la plus élevée à chaque extrémité.;de la tension;du courant;de l'inductance;de la capacité
A-007-004-002;In a half-wave dipole, the distribution of _______ is lowest at each end.;current;voltage;inductance;capacitance;Dans un dipôle demi-onde, la distribution ____________ est la plus faible à chaque extrémité.;du courant;de la tension;de l'inductance;de la capacité
A-007-004-003;The feed point in a centre-fed half-wave antenna is at the point of:;maximum current;minimum current;minimum voltage and current;maximum voltage;Le point d'alimentation d'une antenne demi-onde alimentée en son centre se situe à l'endroit où :;le courant est maximal;le courant est minimal;la tension et le courant sont minimaux;la tension est maximale
A-007-004-004;In a half-wave dipole, the lowest distribution of _________ occurs at the middle.;voltage;capacity;inductance;current;Dans un dipôle demi-onde, la distribution ____________ est la plus faible au centre.;de la tension;de la capacité;de l'inductance;du courant
A-007-004-005;In a half-wave dipole, the highest distribution of ________ occurs at the middle.;current;inductance;voltage;capacity;Dans un dipôle demi-onde, la distribution ___________ est la plus élevée au centre.;du courant;de l'inductance;de la tension;de la capacité
A-007-004-006;A half-wave dipole antenna is normally fed at the point where:;the current is maximum;the voltage is maximum;the resistance is maximum;the antenna is resonant;Une antenne dipôle demi-onde est normalement alimentée au point où :;le courant est maximal;la tension est maximale;la résistance est maximale;l'antenne est résonante
A-007-004-007;At the ends of a half-wave dipole:;voltage is high and current is low;voltage and current are both high;voltage and current are both low;voltage is low and current is high;Aux extrémités d'un dipôle :;la tension est élevée et le courant est faible;la tension et le courant sont tous les deux élevés;la tension et le courant sont tous les deux faibles;la tension est faible et le courant est élevé
A-007-004-008;The impedance of a half-wave antenna at its centre is low, because at this point:;voltage is low and current is high;voltage and current are both high;voltage and current are both low;voltage is high and current is low;L'impédance au centre d'une antenne demi-onde est faible, car :;la tension est faible et le courant est élevé;la tension et le courant sont élevés;la tension et le courant sont faibles;la tension est élevée et le courant est faible
A-007-004-009;In a half-wave dipole, where does minimum voltage occur?;The centre;At the right end;It is equal at all points;Both ends;Dans un dipôle demi-onde, où trouve-t-on la tension minimale?;Au centre;À l'extrémité droite;Elle est égale partout;Aux deux extrémités
A-007-004-010;In a half-wave dipole, where does the minimum current occur?;At both ends;At the centre;It is equal at all points;At the right end;Dans un dipôle demi-onde, où trouve-t-on le courant minimal?;Aux deux extrémités;Au centre;Il est égal partout;À  l'extrémité droite
A-007-004-011;In a half-wave dipole, where does the minimum impedance occur?;At the centre;It is the same at all points;At the right end;At both ends;Dans un dipôle demi-onde, où trouve-t-on l'impédance minimale?;Au centre;Elle est égale partout;À l'extrémité droite;Aux deux extrémités
A-007-005-001;What is meant by circularly polarized electromagnetic waves?;Waves with a rotating electric field;Waves with an electric field bent into circular shape;Waves that circle the earth;Waves produced by a circular loop antenna;Que veut-on dire par des ondes électromagnétiques polarisées circulairement?;Des ondes ayant un champ électrique en rotation;Des ondes dont le champ électrique se replie en forme circulaire;Des ondes qui circulent autour de la Terre;Des ondes produites par une antenne circulaire à boucles
A-007-005-002;What type of polarization is produced by crossed dipoles fed 90 degrees out of phase?;Circular polarization;Cross-polarization;Perpendicular polarization;None of the other answers, the two fields cancel out;Quel type de polarisation deux dipôles disposés en forme de croix produiront-ils si leurs alimentations sont déphasées de 90 degrés?;Une polarisation circulaire;Une transpolarisation ("cross-polarization");Une polarisation perpendiculaire;Aucune de ces réponses, les deux champs s'annulent
A-007-005-003;Which of these antennas does not produce circular polarization?;Loaded helical-wound antenna;Crossed dipoles fed 90 degrees out of phase;Lindenblad antenna;Axial-mode helical antenna;Laquelle de ces antennes ne produit pas une polarisation circulaire?;Antenne hélice radiale ("loaded helical-wound");Dipôles en croix alimentés avec déphasage de 90 degrés;Antenne Lindenblad;Antenne hélice axiale ("axial-mode helical")
A-007-005-004;On VHF/UHF frequencies, Doppler shift becomes of consequence on which type of communication?;Contact via satellite;Contact through a hilltop repeater;Simplex line-of-sight contact between hand-held transceivers;Contact with terrestrial mobile stations;Sur quel type de communication VHF et UHF le décalage Doppler ("Doppler shift") devient-il significatif?;Contact via un satellite;Contact via un répéteur sur une colline;Contact simplex entre portatifs en propagation à vue;Contact avec une station terrestre mobile
A-007-005-005;For VHF and UHF signals over a fixed path, what extra loss can be expected when linearly-polarized antennas are crossed-polarized (90 degrees)?;20 dB or more;3 dB;6 dB;10 dB;Sur un lien VHF/UHF avec antennes de polarisation linéaire entre points fixes, quelle est la perte supplémentaire provoquée par une transpolarisation ("cross-polarization") de 90 degrés?;20 dB ou plus;3 dB;6 dB;10 dB
A-007-005-006;Which of the following is NOT a valid parabolic dish illumination arrangement?;Newtonian;Front feed;Offset feed;Cassegrain;Lequel des montages suivants N'EST PAS une façon d'illuminer un réflecteur parabolique?;Excitation Newton;Excitation frontale;Excitation décalée;Excitation Cassegrain
