B-007-003-001;What is a skip zone?;An area which is too far away for ground-wave propagation, but too close for sky-wave propagation;An area which is too far away for ground-wave or sky-wave propagation;An area covered by sky-wave propagation;An area covered by ground-wave propagation;Qu'est-ce qu'une zone de silence?;Une zone située au-delà de la portée de l'onde de sol, mais trop rapprochée pour l'onde de ciel;Une zone trop éloignée pour l'onde de sol ou l'onde de ciel;Une zone couverte par l'onde de ciel;Une zone couverte par l'onde de sol
B-007-004-010;Polarization change often takes place on radio waves that are propagated over long distances. Which of these does not cause polarization change?;Parabolic interaction;Reflections;Passage through magnetic fields (Faraday rotation);Refractions;Un changement de polarisation se produit souvent dans le cas des ondes radio qui se propagent sur de grandes distances. Laquelle des réponses ci-dessous n'indique pas la cause d'un tel changement de polarisation?;L'interaction parabolique;Les réflexions;Le passage à travers des champs magnétiques (rotation de Faraday);Les réfractions
B-007-004-011;Reflection of a SSB transmission from the ionosphere causes:;little or no phase-shift distortion;phase-shift distortion;signal cancellation at the receiver;a high-pitch squeal at the receiver;La réflexion d'un signal BLU par l'ionosphère :;ne produit pas de distorsion de phase ou en produit très peu;produit de la distorsion de phase;produit une annulation du signal dans le récepteur;produit un bruit aigu dans le récepteur
B-007-005-001;How do sunspots change the ionization of the atmosphere?;The more sunspots there are, the greater the ionization;The more sunspots there are, the less the ionization;Unless there are sunspots, the ionization is zero;They have no effect;De quelle façon les taches solaires modifient-elles l'ionisation de l'atmosphère?;Plus il y a de taches solaires, plus il y a d'ionisation;Plus il y a de taches solaires, moins il y a d'ionisation;S'il n'y a pas de taches solaires, l'ionisation est nulle;Aucun rapport
B-007-005-002;How long is an average sunspot cycle?;11 years;17 years;5 years;7 years;Quelle est la durée moyenne d'un cycle de taches solaires?;11 ans;17 ans;5 ans;7 ans
B-007-005-003;What is solar flux?;The radio energy emitted by the sun;A measure of the tilt of the Earth's ionosphere on the side toward the sun;The number of sunspots on the side of the sun facing the Earth;The density of the sun's magnetic field;Qu'est-ce que le flux solaire?;L'énergie radio émise par le soleil;La mesure de l'inclinaison de la partie de l'ionosphère qui fait face au soleil;Le nombre de taches solaires sur le côté du soleil qui fait face à la terre;La densité du champ magnétique du soleil
B-007-005-004;What is the solar-flux index?;A measure of solar activity that is taken at a specific frequency;Another name for the American sunspot number;A measure of solar activity that compares daily readings with results from the last six months;A measure of solar activity that is taken annually;Qu'est-ce que l'indice du flux solaire?;Une mesure de l'activité solaire prise à une fréquence spécifique;Un autre nom pour désigner un décompte du nombre de taches solaires par un observatoire américain;Une mesure de l'activité solaire qui consiste à comparer les lectures quotidiennes avec les résultats des six derniers mois;Une mesure de l'activité solaire prise annuellement
B-007-005-005;What influences all radiocommunication beyond ground-wave or line-of-sight ranges?;Solar radiation;The F2 region of the ionosphere;The F1 region of the ionosphere;Lunar tidal effects;Qu'est-ce qui influence toute radiocommunication au-delà des ondes de sol et de la propagation à vue?;Le rayonnement solaire;La région F2 de l'ionosphère;La région F1 de l'ionosphère;Les effets de la lune sur les marées
B-007-005-006;Which two types of radiation from the sun influence propagation?;Electromagnetic and particle emissions;Subaudible and audio-frequency emissions;Polar region and equatorial emissions;Infrared and gamma-ray emissions;Quels sont les deux types de rayonnement solaire qui affectent la propagation des ondes radio?;Les émissions électromagnétiques et les émissions de particules;Les émissions de fréquences audibles et sous-audibles;Les émissions en région polaire et en région équatoriale;Les émissions infrarouges et les émissions de rayons gamma
B-007-005-007;When sunspot numbers are high, how is propagation affected?;Frequencies up to 40 MHz or even higher become usable for long-distance communication;High frequency radio signals are absorbed;Frequencies up to 100 MHz or higher are normally usable for long-distance communication;High frequency radio signals become weak and distorted;Quand le nombre de taches solaires est élevé, comment se comporte la propagation?;Les fréquences jusqu'à 40 MHz et même plus hautes deviennent utilisables pour les communications à longues distances;Les signaux à haute fréquence sont absorbés;Les fréquences jusqu'à 100 MHz et même plus hautes sont utilisables pour les communications à longues distances;Les signaux radio haute fréquence sont faibles et souffrent de distorsion
B-007-005-008;All communication frequencies throughout the spectrum are affected in varying degrees by the:;sun;ionosphere;aurora borealis;atmospheric conditions;Toutes les fréquences de communications du spectre subissent à des degrés divers l'influence :;du soleil;de l'ionosphère;des aurores boréales;des conditions atmosphériques
B-007-005-009;Average duration of a solar cycle is:;11 years;3 years;6 years;1 year;La durée moyenne d'un cycle solaire est de :;11 ans;3 ans;6 ans;1 an
B-007-005-010;The ability of the ionosphere to reflect high frequency radio signals depends on:;the amount of solar radiation;the power of the transmitted signal;the receiver sensitivity;upper atmosphere weather conditions;La propriété qu'a l'ionosphère de réfléchir les signaux radio à haute fréquence dépend :;de la quantité du rayonnement solaire;de la puissance du signal émis;de la sensibilité du récepteur;des conditions météo dans la haute atmosphère
B-007-005-011;HF radio propagation cycles have a period of approximately 11:;years;months;days;centuries;Les cycles de propagation HF ont une période approximative de 11 :;ans;mois;jours;siècles
B-007-006-001;What happens to signals higher in frequency than the critical frequency?;They pass through the ionosphere;They are absorbed by the ionosphere;Their frequency is changed by the ionosphere to be below the maximum usable frequency;They are reflected back to their source;Qu'arrive-t-il aux signaux de fréquence plus élevée que la fréquence critique?;Ils traversent l'ionosphère;Ils sont absorbés par l'ionosphère;Leur fréquence est modifiée par l'ionosphère et devient plus basse que la fréquence maximale utilisable;Ils sont réfléchis vers leur source
B-007-006-002;What causes the maximum usable frequency to vary?;The amount of radiation received from the sun, mainly ultraviolet;The temperature of the ionosphere;The speed of the winds in the upper atmosphere;The type of weather just below the ionosphere;Qu'est-ce qui fait varier la fréquence maximale utilisable?;L'intensité du rayonnement reçu du soleil, en particulier l'ultraviolet;La température de l'ionosphère;La vitesse des vents dans la haute atmosphère;Les conditions météo juste en deçà de l'ionosphère
B-007-006-003;What does maximum usable frequency mean?;The highest frequency signal that will reach its intended destination;The lowest frequency signal that will reach its intended destination;The highest frequency signal that is most absorbed by the ionosphere;The lowest frequency signal that is most absorbed by the ionosphere;Que veut dire "fréquence maximale utilisable"?;Le signal de la fréquence la plus élevée qui peut atteindre sa destination;Le signal de la fréquence la plus basse qui peut atteindre sa destination;Le signal de la fréquence la plus élevée qui est le plus absorbé par l'ionosphère;Le signal de la fréquence la plus basse qui est le plus absorbé par l'ionosphère
B-007-006-004;What can be done at an amateur station to continue HF communications during a sudden ionospheric disturbance?;Try a higher frequency band;Try the other sideband;Try a different antenna polarization;Try a different frequency shift;Que peut-on faire pour maintenir une communication HF si une perturbation ionosphérique à début brusque affecte les conditions de propagation?;Essayer une bande de fréquence plus haute;Essayer l'autre bande latérale;Essayer une autre polarisation d'antenne;Essayer un autre déplacement de fréquence
B-007-006-005;What is one way to determine if the maximum usable frequency (MUF) is high enough to support 28 MHz propagation between your station and western Europe?;Listen for signals from 10-metre beacon stations;Listen for signals from 20-metre beacon stations;Listen for signals from 39-metre broadcast stations;Listen for WWVH time signals on 20 MHz;Quelle est la façon de savoir si la fréquence maximale utilisable est suffisamment élevée pour permettre des contacts dans le couloir Canada - Europe de l'Ouest sur 28 MHz?;Tenter de capter une balise ("beacon") sur la bande 10 mètres;Tenter de capter une balise ("beacon") sur la bande 20 mètres;Tenter de capter une fréquence de radiodiffusion dans la bande 39 mètres;Tenter de capter le signal horaire de WWVH sur 20 MHz
B-007-006-006;What usually happens to radio waves with frequencies below the maximum usable frequency (MUF) when they are sent into the ionosphere?;They are bent back to the Earth;They are changed to a frequency above the MUF;They are completely absorbed by the ionosphere;They pass through the ionosphere;Qu'arrive-t-il aux ondes radio dont les fréquences sont plus basses que la fréquence maximale utilisable lorsqu'elles sont envoyées dans l'ionosphère?;Elles sont retournées vers la terre;Elles sont modifiées pour devenir des fréquences plus hautes que la fréquence maximale utilisable;Elles sont complètement absorbées par l'ionosphère;Elles traversent l'ionosphère
B-007-006-007;At what point in the solar cycle does the 20-metre band usually support worldwide propagation during daylight hours?;At any point in the solar cycle;Only at the minimum point of the solar cycle;Only at the maximum point of the solar cycle;At the summer solstice;Durant quelle période du cycle solaire la propagation à l'échelle mondiale devient-elle habituellement possible sur 20 mètres le jour?;N'importe quand durant le cycle solaire;Au moment où le cycle solaire est à son minimum;Au moment où le cycle solaire est à son maximum;Au solstice d'été
B-007-006-008;If we transmit a signal, the frequency of which is so high we no longer receive a reflection from the ionosphere, the signal frequency is above the:;maximum usable frequency;skip distance;speed of light;sunspot frequency;Si nous émettons un signal à une fréquence trop élevée pour être reçue après réflexion dans l'ionosphère, la fréquence de ce signal est au-dessus :;de la fréquence maximale utilisable;de la distance d'un saut;de la vitesse de la lumière;de la fréquence des taches solaires
B-007-006-009;Communication on the 80 metre band is generally most difficult during:;daytime in summer;evening in winter;evening in summer;daytime in winter;Les communications dans la bande de 80 mètres sont généralement plus difficiles :;l'été pendant le jour;pendant les soirs d'hiver;pendant les soirs d'été;l'hiver pendant le jour
B-007-006-010;The optimum working frequency provides the best long range HF communication. Compared with the maximum usable frequency (MUF), it is usually:;slightly lower;double the MUF;half the MUF;slightly higher;La fréquence optimale d'opération est celle qui va permettre au signal de couvrir la plus grande distance lors d'une communication HF. Comparée à la fréquence maximale utilisable (FMU), elle est généralement :;légèrement plus basse;le double de la fréquence maximale utilisable (FMU);la moitié de la fréquence maximale utilisable (FMU);légèrement plus haute
B-007-006-011;During summer daytime, which bands are the most difficult for communications beyond ground wave?;160 and 80 metres;40 metres;30 metres;20 metres;L'été, durant le jour, dans quelles bandes les communications sont-elles les plus difficiles au-delà des ondes de sol?;160 et 80 mètres;40 mètres;30 mètres;20 mètres
B-007-007-001;Which ionospheric region most affects sky-wave propagation on the 6 metre band?;The E region;The F2 region;The F1 region;The D region;Quelle couche ionosphérique affecte plus particulièrement les communications faites par ondes de ciel sur la bande de 6 mètres?;La couche E;La couche F2;La couche F1;La couche D
B-007-007-002;What effect does tropospheric bending have on 2-metre radio waves?;It lets you contact stations farther away;It causes them to travel shorter distances;It garbles the signal;It reverses the sideband of the signal;Quel effet est produit par la réfraction troposphérique ("tropospheric bending") des ondes émises par un appareil 2 mètres?;Ça permet de contacter des stations beaucoup plus lointaines;Les ondes voyagent beaucoup moins loin;Ça déforme les signaux;Ça renverse la bande latérale du signal
B-007-007-003;What causes tropospheric ducting of radio waves?;A temperature inversion;Lightning between the transmitting and receiving stations;An aurora to the north;A very low pressure area;Quelle est la cause de la conduction troposphérique ("tropospheric ducting") des ondes radio?;Une inversion de température;Des éclairs entre la station émettrice et la station réceptrice;Une aurore vers le nord;Une zone de très basse pression
B-007-007-004;That portion of the radiation kept close to the Earth's surface due to bending in the atmosphere is called the:;tropospheric wave;inverted wave;ground wave;ionospheric wave;L'onde rayonnée qui se tient près de la surface de la Terre à cause de la réfraction de l'atmosphère s'appelle :;l'onde troposphérique;l'onde inversée;l'onde de sol;l'onde ionosphérique
B-007-007-005;What is a sporadic-E condition?;Patches of dense ionization at E-region height;Partial tropospheric ducting at E-region height;Variations in E-region height caused by sunspot variations;A brief decrease in VHF signals caused by sunspot variations;Comment définir l'état sporadique de la couche E?;Des plaques denses d'ionisation à la hauteur de la couche E;Une conduction troposphérique partielle à la hauteur de la couche E;Les variations de la hauteur de la couche E causées par les variations du nombre de taches solaires;Une brève diminution des signaux VHF causée par les variations du nombre de taches solaires
B-007-007-006;On which amateur frequency band is the extended-distance propagation effect of sporadic-E most often observed?;6 metres;160 metres;20 metres;2 metres;Sur quelle bande de fréquences du service de radioamateur peut-on observer le phénomène d'augmentation de la distance de propagation de la couche sporadique E?;6 mètres;160 mètres;20 mètres;2 mètres
