B-005-005-009;The total resistance of four 68 ohm resistors wired in parallel is:;17 ohms;12 ohms;34 ohms;272 ohms;La résistance totale de quatre résistances de 68 ohms raccordées en parallèle est égale à :;17 ohms;12 ohms;34 ohms;272 ohms
B-005-006-009;If two 10 ohm resistors are connected in series with a 10 volt battery, the power consumption would be:;5 watts;10 watts;20 watts;100 watts;Quelle est la puissance totale consommée par deux résistances de 10 ohms branchées en série aux bornes d'une pile de 10 volts?;5 watts;10 watts;20 watts;100 watts
B-005-006-010;One advantage of replacing a 50 ohm resistor with a parallel combination of two similarly rated 100 ohm resistors is that the parallel combination will have:;the same resistance but greater power rating;the same resistance but lesser power rating;greater resistance and similar power rating;lesser resistance and similar power rating;Un avantage obtenu en remplaçant une résistance de 50 ohms par deux résistances de 100 ohms en parallèle est que ce montage :;permet une puissance plus élevée tout en présentant la même résistance;permet une puissance plus faible tout en présentant la même résistance;présente une résistance plus élevée tout en permettant la même puissance;présente une résistance plus faible tout en permettant la même puissance
B-005-006-011;Resistor wattage ratings are:;determined by heat dissipation qualities;calculated according to physical size and tolerance rating;expressed in joules;variable in steps of one hundred;La dissipation nominale d'une résistance est :;déterminée par sa facilité à dissiper la chaleur;calculée d'après ses dimensions physiques et son taux de tolérance;exprimée en joules;variable en multiples de 100
B-005-007-001;What term means the number of times per second that an alternating current flows back and forth?;Frequency;Speed;Pulse rate;Inductance;Quel terme indique le nombre de fois par seconde qu'un courant alternatif change de direction?;La fréquence;La vitesse;Le taux pulsatif;L'inductance
B-005-007-002;Approximately what frequency range can most humans hear?;20 - 20 000 Hz;20 000 - 30 000 Hz;200 - 200 000 Hz;0 - 20 Hz;Quelle est approximativement la gamme de fréquences qui peut être entendue par l'humain?;De 20 à 20 000 Hz;De 20 000 à 30 000 Hz;De 200 à 200 000 Hz;De 0 à 20 Hz
B-005-007-003;Why do we call signals in the range 20 Hz to 20 000 Hz audio frequencies?;Because the human ear can sense sounds in this range;Because the human ear cannot sense anything in this range;Because this range is too low for radio energy;Because the human ear can sense radio waves in this range;Pourquoi appelle-t-on "signaux audio" les signaux qui se situent dans la gamme de 20 à 20 000 Hz?;Parce que l'oreille humaine peut capter de tels sons;Parce que l'oreille humaine ne peut capter ces sons;Parce que ces fréquences sont trop basses pour des fréquences radio;Parce que l'oreille humaine peut capter les fréquences radio situées dans cette gamme
B-005-007-004;Electrical energy at a frequency of 7125 kHz is in what frequency range?;Radio;Audio;Hyper;Super-high;Dans quelle gamme de fréquences se situe une énergie électrique à la fréquence de 7 125 kHz?;Radio;Audio;Hyperfréquence;Super-haute
B-005-007-005;What is the name for the distance an AC signal travels during one complete cycle?;Wavelength;Wave speed;Waveform;Wave spread;Comment appelle-t-on la distance parcourue par le courant alternatif pendant un cycle complet?;La longueur d'onde;La vitesse de l'onde;La forme de l'onde;L'étendue de l'onde
B-005-007-006;What happens to a signal's wavelength as its frequency increases?;It gets shorter;It gets longer;It stays the same;It disappears;Qu'arrive-t-il à la longueur d'onde d'un signal lorsqu'on augmente sa fréquence?;Elle devient plus courte;Elle devient plus longue;Elle demeure la même;Elle disparaît
B-005-007-007;What happens to a signal's frequency as its wavelength gets longer?;It goes down;It disappears;It stays the same;It goes up;Qu'arrive-t-il à la fréquence d'un signal lorsqu'on augmente la longueur de l'onde?;Elle diminue;Elle disparaît;Elle demeure la même;Elle augmente
B-005-007-008;What does 60 hertz (Hz) mean?;60 cycles per second;6000 metres per second;60 metres per second;6000 cycles per second;Quelle est la signification de 60 Hertz (Hz)?;60 cycles par seconde;6 000 mètres par seconde;60 mètres par seconde;6 000 cycles par seconde
B-005-007-009;If the frequency of the waveform is 100 Hz, the time for one cycle is:;0.01 second;10 seconds;0.0001 second;1 second;Si la fréquence d'une onde est de 100 Hz, la durée d'un cycle est :;0,01 seconde;10 secondes;0,0001 seconde;1 seconde
B-005-007-010;Current in an AC circuit goes through a complete cycle in 0.1 second. This means the AC has a frequency of:;10 Hz;1 Hz;100 Hz;1000 Hz;Le courant dans un circuit CA effectue un cycle complet toutes les 0,1 seconde. La fréquence de ce courant est de :;10 Hz;1 Hz;100 Hz;1 000 Hz
B-005-007-011;A signal is composed of a fundamental frequency of 2 kHz and another of 4 kHz. This 4 kHz signal is referred to as:;a harmonic of the 2 kHz signal;a fundamental of the 2 kHz signal;the DC component of the main signal;a dielectric signal of the main signal;Un signal est composé d'une fréquence fondamentale à 2 kHz et d'un autre signal à 4 kHz. Ce signal à 4 kHz est :;un harmonique du signal à 2 kHz;une fondamentale du signal à 2 kHz;la composante continue du signal principal;un signal diélectrique du signal principal
B-005-008-001;A two-times increase in power results in a change of how many dB?;3 dB higher;6 dB higher;12 dB higher;1 dB higher;Lorsqu'on double la puissance, quel est le changement dans le nombre de décibels?;Une augmentation de 3 dB;Une augmentation de 6 dB;Une augmentation de 12 dB;Une augmentation de 1 dB
B-005-008-002;How can you decrease your transmitter's power by 3 dB?;Divide the original power by 2;Divide the original power by 1.5;Divide the original power by 3;Divide the original power by 4;Comment peut-on diminuer la puissance de l'émetteur de 3 dB?;En divisant la puissance originale par 2;En divisant la puissance originale par 1,5;En divisant la puissance originale par 3;En divisant la puissance originale par 4
B-005-008-003;How can you increase your transmitter's power by 6 dB?;Multiply the original power by 4;Multiply the original power by 3;Multiply the original power by 2;Multiply the original power by 1.5;Comment peut-on augmenter la puissance de l'émetteur de 6 dB?;En multipliant la puissance originale par 4;En multipliant la puissance originale par 3;En multipliant la puissance originale par 2;En multipliant la puissance originale par 1,5
B-005-008-004;If a signal-strength report is "10 dB over S9", what should the report be if the transmitter power is reduced from 1500 watts to 150 watts?;S9;S9 plus 3 dB;S9 minus 10 dB;S9 plus 5 dB;Si la force d'un signal émis avec 1 500 watts de puissance est de "S9 plus 10 dB", quelle sera la force de ce signal émis avec une puissance de 150 watts?;S9;S9 plus 3 dB;S9 moins 10 dB;S9 plus 5 dB
B-005-008-005;If a signal-strength report is "20 dB over S9", what should the report be if the transmitter power is reduced from 1500 watts to 150 watts?;S9 plus 10 dB;S9 plus 5 dB;S9 plus 3 dB;S9;Si un rapport de signal est de "S9 plus 20 dB", quel sera ce rapport si l'émetteur émet à 150 watts au lieu de 1 500 watts?;S9 plus 10 dB;S9 plus 5 dB;S9 plus 3 dB;S9
B-005-008-006;The unit "decibel" is used to indicate:;a mathematical ratio;an oscilloscope wave form;certain radio waves;a single side band signal;Le décibel est une unité utilisée pour :;des rapports mathématiques;le tracé sur un oscilloscope;certaines ondes radio;un signal de bande latérale unique
B-005-008-007;The power output from a transmitter increases from 1 watt to 2 watts. This is a dB increase of:;3;30;6;1;La puissance de sortie d'un émetteur passe de 1 watt à 2 watts. Comment cette augmentation s'exprime-t-elle en dB?;3;30;6;1
B-005-008-008;The power of a transmitter is increased from 5 watts to 50 watts by a linear amplifier. The power gain, expressed in dB, is:;10 dB;30 dB;40 dB;20 dB;Un amplificateur linéaire augmente la puissance d'un émetteur de 5 watts à 50 watts. Le gain de puissance, exprimé en dB, sera de :;10 dB;30 dB;40 dB;20 dB
B-005-008-009;You add a 9 dB gain amplifier to your 2 watt handheld. What is the power output of the combination?;16 watts;11 watts;20 watts;18 watts;Pour augmenter la puissance de votre émetteur portatif de 2 watts, vous ajoutez un amplificateur d'un gain de 9 dB. Quelle sera la nouvelle puissance de sortie?;16 watts;11 watts;20 watts;18 watts
B-005-008-010;The power of a transmitter is increased from 2 watts to 8 watts. This is a power gain of __________ dB.;6 dB;3 dB;8 dB;9 dB;La puissance d'un émetteur est augmentée de 2 watts à 8 watts. Le gain de puissance est alors de ________ dB.;6 dB;3 dB;8 dB;9 dB
B-005-008-011;A local amateur reports your 100W 2M simplex VHF transmission as 30 dB over S9. To reduce your signal to S9, you would reduce your power to ______ watts.;100 mW;1 W;10 W;33.3 W;Un radioamateur local rapporte que votre émission VHF 2 mètres en simplex, à 100 W, lui donne une lecture de 30 dB au-dessus de S9. Pour réduire votre signal à S9, vous devriez réduire la puissance à ____ watts.;100 mW;1 W;10 W;33,3 W
B-005-009-001;If two equal-value inductors are connected in series, what is their total inductance?;Twice the value of one inductor;Half the value of one inductor;The same as the value of either inductor;The value of one inductor times the value of the other;Si deux bobines de valeur égale sont reliées en série, quelle est l'inductance totale?;Le double de la valeur d'une bobine;La moitié de la valeur d'une bobine;La même valeur qu'une des bobines;La valeur d'une bobine multipliée par la valeur de l'autre bobine
B-005-009-002;If two equal-value inductors are connected in parallel, what is their total inductance?;Half the value of one inductor;Twice the value of one inductor;The same as the value of either inductor;The value of one inductor times the value of the other;Si deux bobines de valeur égale sont reliées en parallèle, quelle sera la valeur totale de l'inductance?;La moitié de la valeur d'une des bobines;Deux fois la valeur d'une des bobines;La même valeur que l'une des bobines;La valeur d'une bobine multipliée par la valeur de l'autre bobine
B-005-009-003;If two equal-value capacitors are connected in series, what is their total capacitance?;Half the value of either capacitor;Twice the value of one capacitor;The same as the value of either capacitor;The value of one capacitor times the value of the other;Lorsque deux condensateurs de valeur égale sont reliés en série, quelle est la capacité totale obtenue?;La moitié de la valeur de l'un des condensateurs;Le double de la valeur de l'un des condensateurs;La valeur de l'un des condensateurs;La valeur de l'un des condensateurs multipliée par la valeur de l'autre condensateur
B-005-009-004;If two equal-value capacitors are connected in parallel, what is their total capacitance?;Twice the value of one capacitor;The same as the value of either capacitor;The value of one capacitor times the value of the other;Half the value of one capacitor;Si deux condensateurs de valeur égale sont reliés en parallèle, quelle est la capacité totale obtenue?;Deux fois la valeur de l'un des condensateurs;La même valeur que l'un des condensateurs;La valeur de l'un des condensateurs multipliée par la valeur de l'autre condensateur;La moitié de la valeur de l'un des condensateurs
B-005-009-005;What determines the inductance of a coil?;The core material, the coil diameter, the length of the coil and the number of turns of wire used to wind the coil;The core material, the number of turns used to wind the coil and the frequency of the current through the coil;The coil diameter, the number of turns of wire used to wind the coil and the type of metal used for the wire;The core material, the coil diameter, the length of the coil and whether the coil is mounted horizontally or vertically;Qu'est-ce qui détermine l'inductance d'une bobine?;La composition du noyau, le diamètre de la bobine, la longueur de l'enroulement et le nombre de tours de fil;La composition du noyau, le nombre de tours de fil et la fréquence du courant qui traverse la bobine;Le diamètre du noyau, le nombre de tours de fil et le matériau du fil conducteur utilisé;La composition du noyau, le diamètre de la bobine, la longueur de l'enroulement et le fait que la bobine soit verticale ou horizontale
B-005-009-006;What determines the capacitance of a capacitor?;The material between the plates, the surface area of the plates, the number of plates and the spacing between the plates;The material between the plates, the number of plates and the size of the wires connected to the plates;The number of plates, the spacing between the plates and whether the dielectric material is N type or P type;The material between the plates, the area of one plate, the number of plates and the material used for the protective coating;Qu'est-ce qui détermine la capacité d'un condensateur?;Le matériau entre les plaques, la surface des plaques, le nombre de plaques et la distance entre les plaques;Le matériau entre les plaques, le nombre de plaques et le diamètre du fil utilisé pour relier les plaques au circuit;Le nombre de plaques, l'espace entre les plaques et le fait que le matériau diélectrique soit de type N ou de type P;Le matériau diélectrique, la surface d'une plaque, le nombre de plaques et le matériau utilisé comme couche protectrice
B-005-009-008;To replace a faulty 10 millihenry choke, you could use two:;5 millihenry chokes in series;20 millihenry chokes in series;30 millihenry chokes in parallel;5 millihenry chokes in parallel;Une bobine défectueuse de 10 millihenrys peut être remplacée par :;deux bobines de 5 millihenrys en série;deux bobines de 20 millihenrys en série;deux bobines de 30 millihenrys en parallèle;deux bobines de 5 millihenrys en parallèle
B-005-009-009;Three 15 microfarad capacitors are wired in series. The total capacitance of this arrangement is:;5 microfarads;45 microfarads;12 microfarads;18 microfarads;Trois condensateurs de 15 microfarads sont branchés en série. La capacité totale de ce montage est égale à :;5 microfarads;45 microfarads;12 microfarads;18 microfarads
B-005-009-010;Which series combinations of capacitors would best replace a faulty 10 microfarad capacitor?;Two 20 microfarad capacitors;Two 10 microfarad capacitors;Twenty 2 microfarad capacitors;Ten 2 microfarad capacitors;Quel ensemble de condensateurs en série permettrait de remplacer le plus exactement possible un condensateur défectueux de 10 microfarads?;Deux condensateurs de 20 microfarads;Deux condensateurs de 10 microfarads;Vingt condensateurs de 2 microfarads;Dix condensateurs de 2 microfarads
B-005-009-011;The total capacitance of two or more capacitors in series is:;always less than the smallest capacitor;found by adding each of the capacitors together and dividing by the total number of capacitors;found by adding each of the capacitors together;always greater than the largest capacitor;La capacité totale de deux ou plusieurs condensateurs en série :;est toujours inférieure à la plus faible des capacités individuelles;se calcule en additionnant la capacité des condensateurs et en divisant la somme par le nombre total de condensateurs;se calcule en additionnant la capacité des condensateurs;est toujours supérieure à la plus élevée des capacités individuelles
B-005-010-001;How does a coil react to AC?;As the frequency of the applied AC increases, the reactance increases;As the amplitude of the applied AC increases, the reactance decreases;As the amplitude of the applied AC increases, the reactance increases;As the frequency of the applied AC increases, the reactance decreases;Comment une bobine réagit-elle dans un circuit CA?;La réactance de la bobine augmente à mesure que la fréquence appliquée augmente;La réactance de la bobine diminue à mesure que l'amplitude du signal augmente;La réactance de la bobine augmente à mesure que l'amplitude du signal augmente;La réactance de la bobine diminue à mesure que la fréquence appliquée augmente
B-005-010-002;How does a capacitor react to AC?;As the frequency of the applied AC increases, the reactance decreases;As the frequency of the applied AC increases, the reactance increases;As the amplitude of the applied AC increases, the reactance increases;As the amplitude of the applied AC increases, the reactance decreases;Comment réagit un condensateur dans un circuit CA?;La réactance diminue à mesure que la fréquence appliquée augmente;La réactance augmente à mesure que la fréquence appliquée augmente;La réactance augmente à mesure que l'amplitude du signal augmente;La réactance diminue à mesure que l'amplitude du signal augmente
B-005-010-003;The reactance of capacitors increases as:;frequency decreases;applied voltage increases;applied voltage decreases;frequency increases;La réactance d'un condensateur augmente lorsque :;la fréquence diminue;la tension appliquée augmente;la tension appliquée diminue;la fréquence augmente
B-005-010-004;In inductances, AC may be opposed by both resistance of winding wire and reactance due to inductive effect. The term which includes resistance and reactance is:;impedance;resonance;inductance;capacitance;Dans les bobines, le courant alternatif peut être freiné par la résistance du fil de l'enroulement et par la réactance due à des effets inductifs. Le terme qui regroupe la résistance et la réactance est :;l'impédance;la résonance;l'inductance;la capacité
