B-005-010-005;Capacitive reactance:;decreases as frequency increases;applies only to series RLC circuits;increases as frequency increases;increases with the time constant;La réactance capacitive :;diminue quand la fréquence augmente;ne s'applique qu'aux circuits RLC en série;augmente quand la fréquence augmente;augmente avec la constante de temps
B-005-011-005;The strength of the magnetic field around a conductor in air is:;directly proportional to the current in the conductor;inversely proportional to the diameter of the conductor;directly proportional to the diameter of the conductor;inversely proportional to the voltage on the conductor;L'intensité du champ magnétique autour d'un conducteur en espace libre est :;directement proportionnelle au courant qui circule dans le conducteur;inversement proportionnelle au diamètre du conducteur;directement proportionnelle au diamètre du conducteur;inversement proportionnelle à la tension aux bornes du conducteur
B-005-011-006;Maximum induced voltage in a coil occurs when:;current is going through its greatest rate of change;the current through the coil is of a DC nature;current is going through its least rate of change;the magnetic field around the coil is not changing;La tension induite dans une bobine est maximale quand :;le taux de variation du courant est maximal;le courant circulant dans la bobine est un courant continu;le taux de variation du courant est minimal;le champ magnétique entourant la bobine est stable
B-005-011-007;The voltage induced in a conductor moving in a magnetic field is at a maximum when the movement is:;perpendicular to the lines of force;made in a counter clockwise direction;parallel to the lines of force;made in a clockwise direction;La tension induite dans un conducteur qui se déplace dans un champ magnétique est maximale quand le mouvement :;est perpendiculaire aux lignes de force;se fait dans le sens inverse des aiguilles d'une montre;est parallèle aux lignes de force;se fait dans le sens des aiguilles d'une montre
B-005-011-008;A 100% efficient transformer has a turns ratio of 1/5. If the secondary current is 50 milliamperes, the primary current is:;0.25 A;2 500 mA;0.01 A;0.25 mA;Un transformateur comprend un primaire et un secondaire dont le rapport de transformation est de 1/5. En supposant un rendement de 100%, quel est le courant primaire si le secondaire fournit 50 mA?;0,25 A;2 500 mA;0,01 A;0,25 mA
B-005-011-009;A force of repulsion exists between two _________ magnetic poles.;like;unlike;positive;negative;Une force de répulsion existe entre deux pôles magnétiques :;de même nom;de noms contraires;positifs;négatifs
B-005-011-010;A permanent magnet would most likely be made from:;steel;copper;aluminum;brass;Un aimant permanent est le plus probablement fait en :;acier;cuivre;aluminium;laiton
B-005-011-011;The fact that energy transfer from primary to secondary windings in a power transformer is not perfect is indicated by:;warm iron laminations;electrostatic shielding;large secondary currents;high primary voltages;Qu'est-ce qui confirme le fait que le transfert d'énergie du primaire au secondaire d'un transformateur n'est pas parfait?;L'échauffement des lamelles de fer;Le blindage électrostatique;La présence de courants secondaires élevés;La présence d'une tension primaire élevée
B-005-012-001;Resonance is the condition that exists when:;inductive reactance and capacitive reactance are equal;inductive reactance is the only opposition in the circuit;the circuit contains no resistance;resistance is equal to the reactance;La résonance est la condition qui existe quand :;la réactance inductive et la réactance capacitive sont égales;la réactance inductive est la seule opposition dans le circuit;le circuit n'a pas de résistance;la résistance est égale à la réactance
B-005-012-002;Parallel tuned circuits offer:;high impedance at resonance;low impedance at resonance;zero impedance at resonance;an impedance equal to resistance of the circuit;Un circuit résonant parallèle a :;une impédance élevée à la résonance;une faible impédance à la résonance;une impédance nulle à la résonance;une impédance égale à la résistance du circuit
B-005-012-003;Resonance is an electrical property used to describe:;the frequency characteristic of a coil and capacitor circuit;an inductor;a set of parallel inductors;the results of tuning a varicap (varactor);La résonance est une propriété électrique servant à décrire :;la caractéristique de fréquence d'un circuit comprenant une bobine et un condensateur;une inductance;un ensemble d'inductances en parallèle;le résultat de l'accord d'une diode varactor ("varicap")
B-005-012-004;A tuned circuit is formed from two basic components. These are:;inductors and capacitors;resistors and transistors;directors and reflectors;diodes and transistors;Un circuit accordé est formé de deux composants fondamentaux :;une bobine et un condensateur;une résistance et un transistor;un directeur et un réflecteur;une diode et un transistor
B-005-012-005;When a parallel coil-capacitor combination is supplied with AC of different frequencies, there will be one frequency where the impedance will be highest. This is the:;resonant frequency;impedance frequency;inductive frequency;reactive frequency;Lorsqu'on applique une tension alternative de fréquence variable aux bornes d'une bobine montée en parallèle avec un condensateur, on constate que l'impédance atteint son maximum à une fréquence donnée. Cette fréquence est :;la fréquence de résonance;la fréquence d'impédance;la fréquence inductive;la fréquence réactive
B-005-012-006;In a parallel-resonant circuit at resonance, the circuit has a:;high impedance;low impedance;low mutual inductance;high mutual inductance;Dans un circuit résonant parallèle, le circuit présente, à la résonance :;une impédance élevée;une impédance faible;une inductance mutuelle faible;une inductance mutuelle élevée
B-005-012-007;In a series resonant circuit at resonance, the circuit has:;low impedance;high impedance;low mutual inductance;high mutual inductance;Dans un circuit résonant série, le circuit présente, à la résonance :;une impédance faible;une impédance élevée;une inductance mutuelle faible;une inductance mutuelle élevée
B-005-012-008;A coil and an air-spaced capacitor are arranged to form a resonant circuit. The resonant frequency will remain the same if we:;add a resistor to the circuit;increase the area of plates in the capacitor;insert Mylar sheets between the plates of the capacitor;wind more turns on the coil;Une bobine et un condensateur à air sont raccordés de manière à constituer un circuit résonant. La fréquence de résonance demeure inchangée quand on :;insère une résistance dans le circuit;augmente la surface des plaques du condensateur;insère des feuilles de Mylar entre les plaques du condensateur;ajoute des spires à la bobine
B-005-012-009;Resonant circuits in a receiver are used to:;select signal frequencies;filter direct current;increase power;adjust voltage levels;Les circuits résonants sont utilisés dans un récepteur pour :;sélectionner les fréquences de signal;filtrer le courant continu;augmenter la puissance;régler les niveaux de tension
B-005-012-010;Resonance is the condition that exists when:;inductive reactance and capacitive reactance are equal and opposite in sign;inductive reactance is the only opposition in the circuit;the circuit contains no resistance;resistance is equal to the reactance;La résonance est la condition qui existe quand :;la réactance inductive et la réactance capacitive sont égales, mais de signes contraires;la réactance inductive est la seule opposition dans le circuit;le circuit n'inclut pas de résistance;la résistance est égale à la réactance
B-005-012-011;When a series LCR circuit is tuned to the frequency of the source, the:;line current reaches maximum;line current lags the applied voltage;line current leads the applied voltage;impedance is maximum;Quand un circuit LCR en série est accordé à la fréquence de la source :;le courant de la ligne atteint le maximum;le courant de la ligne est en retard par rapport à la tension appliquée;le courant de la ligne est en avance par rapport à la tension appliquée;l'impédance est maximale
B-005-013-001;How is a voltmeter usually connected to a circuit under test?;In parallel with the circuit;In series with the circuit;In quadrature with the circuit;In phase with the circuit;Comment doit-on relier un voltmètre dans un circuit que l'on veut vérifier?;En parallèle avec le circuit;En série avec le circuit;En quadrature avec le circuit;En phase avec le circuit
B-005-013-002;How is an ammeter usually connected to a circuit under test?;In series with the circuit;In quadrature with the circuit;In phase with the circuit;In parallel with the circuit;Comment relier un ampèremètre au circuit que l'on vérifie?;En série avec le circuit;En quadrature avec le circuit;En phase avec le circuit;En parallèle avec le circuit
B-005-013-003;What does a multimeter measure?;Voltage, current and resistance;Resistance, capacitance and inductance;Resistance and reactance;SWR and power;Que peut mesurer un multimètre?;Le voltage, le courant et la résistance;La résistance, la capacité et l'inductance;La résistance et la réactance;Le ROS et la puissance
B-005-013-004;The correct instrument to measure plate current or collector current of a transmitter is:;an ammeter;an ohmmeter;a wattmeter;a voltmeter;L'instrument qu'il faut utiliser pour mesurer le courant de plaque ou du collecteur d'un émetteur est :;un ampèremètre;un ohmmètre;un wattmètre;un voltmètre
B-005-013-005;Which of the following meters would you use to measure the power supply current drawn by a small hand-held transistorized receiver?;A DC ammeter;An RF ammeter;An RF power meter;An electrostatic voltmeter;Lequel des instruments de mesure suivants utiliserait-on pour mesurer le courant exigé par un petit récepteur portatif à transistors?;Un ampèremètre à courant continu;Un ampèremètre RF;Un wattmètre RF;Un voltmètre électrostatique
B-005-013-006;When measuring current drawn from a DC power supply, it is true to say that the meter will act in circuit as:;a low value resistance;a perfect conductor;an extra current drain;an insulator;Si l'on mesure le courant débité par un bloc d'alimentation CC, l'ampèremètre inséré dans le circuit se comporte comme :;une résistance de faible valeur;un conducteur parfait;un drain de courant supplémentaire;un isolant
B-005-013-007;When measuring the current drawn by a receiver from a power supply, the current meter should be placed:;in series with one of the receiver power leads;in series with both receiver power leads;in parallel with both receiver power supply leads;in parallel with one of the receiver power leads;Vous devez mesurer le courant exigé par un récepteur. De quelle façon doit-on raccorder l'ampèremètre à la paire de fils du cordon d'alimentation de ce récepteur?;En série dans l'un des fils;En série dans les deux fils;En parallèle sur les deux fils;En parallèle sur l'un des fils
B-005-013-008;Potential difference is measured by means of:;a voltmeter;a wattmeter;an ohmmeter;an ammeter;Une différence de potentiel se mesure au moyen d'un :;voltmètre;wattmètre;ohmmètre;ampèremètre
B-005-013-009;The instrument used for measuring the flow of electrical current is the:;ammeter;faradmeter;wattmeter;voltmeter;L'instrument servant à mesurer un courant électrique s'appelle :;un ampèremètre;un faradmètre;un wattmètre;un voltmètre
B-005-013-010;In measuring volts and amperes, the connections should be made with:;the voltmeter in parallel and ammeter in series;the voltmeter in series and ammeter in parallel;both voltmeter and ammeter in series;both voltmeter and ammeter in parallel;Pour mesurer les volts et les ampères, on doit raccorder :;le voltmètre en parallèle et l'ampèremètre en série;le voltmètre en série et l'ampèremètre en parallèle;le voltmètre et l'ampèremètre en série;le voltmètre et l'ampèremètre en parallèle
B-006-001-001;What connects your transceiver to your antenna?;A transmission line;The power cord;A ground wire;A dummy load;Qu'est-ce qui relie votre émetteur-récepteur à votre antenne?;Une ligne de transmission;Le cordon d'alimentation;Un fil de mise à la terre;Une charge fictive
B-006-001-002;The characteristic impedance of a transmission line is determined by the:;physical dimensions and relative positions of the conductors;length of the line;frequency at which the line is operated;load placed on the line;L'impédance caractéristique d'une ligne de transmission est déterminée par :;les dimensions physiques et les positions relatives des conducteurs;la longueur de la ligne;la fréquence à laquelle on utilise la ligne;la charge placée sur la ligne
B-006-001-003;The characteristic impedance of a 20 metre piece of transmission line is 52 ohms. If 10 metres were cut off, the impedance would be:;52 ohms;26 ohms;39 ohms;13 ohms;L'impédance caractéristique d'un tronçon (ou section) de ligne de transmission mesurant 20 mètres est de 52 ohms. Si l'on coupait 10 mètres de ce tronçon, quelle en serait l'impédance :;52 ohms;26 ohms;39 ohms;13 ohms
B-006-001-004;The characteristic impedance of a coaxial line:;can be the same for different diameter line;changes significantly with the frequency of the energy it carries;is correct for only one size of line;is greater for larger diameter line;L'impédance caractéristique d'une ligne de transmission coaxiale :;peut être la même que celle d'une autre ligne de diamètre différent;change de façon marquée avec la fréquence de l'énergie transmise;n'est valable que pour une certaine dimension de ligne;augmente avec son diamètre
B-006-001-005;What commonly available antenna transmission line can be buried directly in the ground for some distance without adverse effects?;Coaxial cable;300 ohm twin-lead;600 ohm open-wire line;75 ohm twin-lead;Quelle ligne de transmission, communément disponible sur le marché, peut être enfouie directement dans le sol sur une certaine distance, sans effets défavorables?;Le câble coaxial;La ligne bifilaire de 300 ohms;La ligne ouverte de 600 ohms;La ligne bifilaire de 75 ohms
B-006-001-006;The characteristic impedance of a transmission line is:;equal to the pure resistance which, if connected to the end of the line, will absorb all the power arriving along it;the impedance of a section of the line one wavelength long;the dynamic impedance of the line at the operating frequency;the ratio of the power supplied to the line to the power delivered to the load;L'impédance caractéristique d'une ligne de transmission est :;égale à la résistance pure qui, si elle est raccordée à l'extrémité de la ligne, absorbe toute la puissance transmise;l'impédance d'une section de ligne d'une longueur d'onde;l'impédance dynamique de la ligne à la fréquence d'exploitation;le rapport entre la puissance fournie à la ligne et la puissance qui arrive à la charge
B-006-001-007;A transmission line differs from an ordinary circuit or network in communications or signalling devices in one very important way. That important aspect is:;propagation delay;capacitive reactance;inductive reactance;resistance;Une ligne de transmission a une caractéristique qui diffère considérablement de celles d'un circuit ou réseau ordinaire utilisé en communications ou dans les dispositifs de signalisation. Cette caractéristique importante se rapporte :;au délai de propagation;à la réactance capacitive;à la réactance inductive;à la résistance
B-006-001-008;The characteristic impedance of a parallel wire transmission line does not depend on the:;velocity of energy on the line;radius of the conductors;centre to centre distance between conductors;dielectric;L'impédance caractéristique d'une ligne de transmission dont les fils sont parallèles ne dépend pas :;de la vélocité de l'énergie sur la ligne;du rayon des fils conducteurs;de la distance, mesurée centre-centre, entre les conducteurs;du diélectrique
B-006-001-009;If the impedance terminating a transmission line differs significantly from the characteristic impedance of the line, what will be observed at the input of the line?;Some value of impedance influenced by line length;An infinite impedance;A negative impedance;An impedance nearly equal to the characteristic impedance;Si une ligne de transmission se termine sur une impédance qui diffère significativement de l'impédance caractéristique de la ligne, qu'observera-t-on à l'entrée de la ligne?;Une impédance quelconque dépendante de la longueur de la ligne;Une impédance infinie;Une impédance négative;Une impédance presque égale à l'impédance caractéristique
B-006-001-010;What factors determine the characteristic impedance of a parallel-conductor antenna transmission line?;The distance between the centres of the conductors and the radius of the conductors;The distance between the centres of the conductors and the length of the line;The radius of the conductors and the frequency of the signal;The frequency of the signal and the length of the line;Quels facteurs déterminent l'impédance caractéristique d'une ligne de transmission dont les conducteurs sont parallèles?;La distance centre-centre entre les conducteurs et le rayon des conducteurs;La distance centre-centre entre les conducteurs et la longueur de la ligne;Le rayon des conducteurs et la fréquence du signal;La fréquence du signal et la longueur de la ligne
B-006-001-011;What factors determine the characteristic impedance of a coaxial antenna transmission line?;The ratio of the diameter of the inner conductor to the diameter of the outer shield;The diameter of the shield and the length of the line;The diameter of the shield and the frequency of the signal;The frequency of the signal and the length of the line;Quels facteurs déterminent l'impédance caractéristique d'un câble coaxial?;Le rapport du diamètre du conducteur intérieur sur le diamètre du conducteur extérieur;Le diamètre du conducteur extérieur et la longueur de la ligne;Le diamètre du conducteur extérieur et la fréquence du signal;La fréquence du signal et la longueur de la ligne
