A-007-005-007;A parabolic antenna is very efficient because:;all the received energy is focused to a point where the pick-up antenna is located;a dipole antenna can be used to pick up the received energy;no impedance matching is required;a horn-type radiator can be used to trap the received energy;Une antenne parabolique est très efficace parce que :;toute l'énergie reçue converge vers un point où est située l'antenne de réception;un dipôle peut être utilisé pour capter l'énergie;aucune adaptation d'impédance n'est requise;un radiateur en forme de cornet peut être utilisé pour capter l'énergie reçue
A-007-007-003;The plane from which ground reflections can be considered to take place, or the effective ground plane for an antenna is:;several centimeters to as much as 2 meters below ground, depending upon soil conditions;as much as 6 cm below ground depending upon soil conditions;as much as a meter above ground;at ground level exactly;Le plan sur lequel on peut considérer que les réflexions se produisent sur le sol (c'est-à-dire le plan de sol effectif) est situé :;à partir de plusieurs cm jusqu'à 2 m sous le sol, selon les conditions du sol;de zéro à 6 cm sous le sol, selon les conditions du sol;à 1 m au-dessus du sol;au niveau du sol exactement
A-007-007-004;Why is a ground-mounted vertical quarter-wave antenna in reasonably open surroundings better for long distance contacts than a half-wave dipole at a quarter wavelength above ground?;The vertical radiation angle is lower;The radiation resistance is lower;It has an omnidirectional characteristic;It uses vertical polarization;Pourquoi une antenne verticale quart d'onde montée sur le sol en un endroit raisonnablement bien dégagé est-elle meilleure pour les contacts à grande distance qu'un dipôle demi-onde monté à un quart de longueur d'onde au-dessus du sol?;Parce que son angle de rayonnement vertical est plus bas;Parce que sa résistance de rayonnement est plus faible;Parce qu'elle a un rayonnement omnidirectionnel;Parce qu'elle est à polarisation verticale
A-007-007-005;When a half-wave dipole antenna is installed one-half wavelength above ground, the:;vertical or upward radiation is effectively cancelled;radiation pattern changes to produce side lobes at 15 and 50 degrees;side lobe radiation is cancelled;radiation pattern is unaffected;Lorsqu'on installe un dipôle demi-onde à une demi-longueur d'onde au-dessus du sol :;le rayonnement, qu'il soit vertical ou vers le haut, est pratiquement annulé;le diagramme de rayonnement change afin de produire des lobes latéraux à 15 et à 50 degrés;les lobes latéraux sont annulés;le diagramme de rayonnement n'est pas affecté
A-007-007-006;How does antenna height affect the horizontal (azimuthal) radiation pattern of a horizontal dipole HF antenna?;If the antenna is less than one-half wavelength high, reflected radio waves from the ground significantly distort the pattern;Antenna height has no effect on the pattern;If the antenna is less than one-half wavelength high, radiation off the ends of the wire is eliminated;If the antenna is too high, the pattern becomes unpredictable;Comment la hauteur affecte-t-elle le diagramme de rayonnement horizontal (azimutal) d'un dipôle HF horizontal?;Si l'antenne est moins haute que la demi-longueur d'onde, les ondes réfléchies par la terre produisent un diagramme déformé;La hauteur de l'antenne n'a pas d'effet sur le diagramme;Si l'antenne est moins haute que la demi-longueur d'onde, le rayonnement par les bouts de l'antenne ne se fait pas;Si l'antenne est trop haute, le diagramme est imprévisible
A-007-007-007;For long distance propagation, the vertical radiation angle of the energy from the antenna should be:;less than 30 degrees;more than 45 degrees but less than 90 degrees;90 degrees;more than 30 degrees but less than 45 degrees;Pour la propagation à grande distance, l'angle de rayonnement de l'énergie à partir de l'antenne doit être :;inférieur à 30 degrés;supérieur à 45 degrés, mais inférieur à 90 degrés;de 90 degrés;supérieur à 30 degrés, mais inférieur à 45 degrés
A-007-007-008;Greater distance can be covered with multiple-hop transmissions by decreasing the:;vertical radiation angle of the antenna;power applied to the antenna;main height of the antenna;length of the antenna;En propagation par sauts multiples, on peut couvrir de plus grandes distances en diminuant :;l'angle de rayonnement vertical de l'antenne;la puissance appliquée à l'antenne;la hauteur principale de l'antenne;la longueur de l'antenne
A-007-007-009;The impedance at the centre of a dipole antenna more than 3 wavelengths above ground would be nearest to:;75 ohms;25 ohms;300 ohms;600 ohms;L'impédance au centre d'un dipôle situé à plus de 3 longueurs d'onde au-dessus du sol est voisine de :;75 ohms;25 ohms;300 ohms;600 ohms
A-007-007-010;Why can a horizontal antenna closer to ground be advantageous for close range communications on lower HF bands?;The ground tends to act as a reflector;Lower antenna noise temperature;Low radiation angle for closer distances;The radiation resistance is higher;Pourquoi une antenne horizontale pas très haute pourrait-elle être avantageuse pour des communications de courte portée sur les fréquences basses du spectre HF?;Le sol agit en quelque sorte de réflecteur;La température de bruit d'antenne est plus basse;L'angle de rayonnement est bas pour des distances plus courtes;La résistance de rayonnement est plus élevée
A-007-007-011;Which antenna system and operating frequency are most suitable for Near Vertical Incidence (NVIS) communications?;A horizontal antenna less than 1/4 wavelength above ground and a frequency below the current critical frequency;A horizontal antenna at a height of half a wavelength and an operating frequency at the optimum working frequency;A vertical antenna and a frequency below the maximum usable frequency;A vertical antenna and a frequency above the lowest usable frequency;Quel système d'antenne et quelle fréquence d'opération sont les plus appropriés à une communication par onde ionosphérique à incidence quasi verticale ("NVIS")?;Une antenne horizontale à une hauteur de moins d'un quart de longueur d'onde et une fréquence d'opération sous la fréquence critique;Une antenne horizontale à une hauteur d'une demi-longueur d'onde et une fréquence d'opération à la fréquence optimale d'opération;Une antenne verticale et une fréquence d'opération sous la fréquence maximale utilisable;Une antenne verticale et une fréquence d'opération supérieure à la fréquence minimale utilisable
A-007-008-001;What is meant by the radiation resistance of an antenna?;The equivalent resistance that would dissipate the same amount of power as that radiated from an antenna;The resistance in the atmosphere that an antenna must overcome to be able to radiate a signal;The specific impedance of an antenna;The combined losses of the antenna elements and transmission line;Que veut-on dire par la résistance de rayonnement d'une antenne?;La résistance équivalente qui dissiperait la même quantité de puissance que celle dissipée par l'antenne;La résistance de l'atmosphère qu'une antenne doit surpasser pour pouvoir émettre un signal;L'impédance spécifique d'une antenne;Les pertes combinées des éléments de l'antenne et de la ligne de transmission
A-007-008-002;Why would one need to know the radiation resistance of an antenna?;To match impedances for maximum power transfer;To measure the near-field radiation density from a transmitting antenna;To calculate the front-to-side ratio of the antenna;To calculate the front-to-back ratio of the antenna;Pourquoi est-il important de connaître la résistance de rayonnement d'une antenne?;Afin d'accorder l'impédance et d'obtenir le maximum de transfert de puissance;Pour mesurer la densité du champ de rayonnement autour de l'antenne;Pour calculer le rapport avant/côtés de l'antenne;Pour calculer le rapport avant/arrière de l'antenne
A-007-008-003;What factors determine the radiation resistance of an antenna?;Antenna location with respect to nearby objects and the conductors length/diameter ratio;Transmission line length and antenna height;Sunspot activity and time of day;It is a physical constant and is the same for all antennas;Quels facteurs déterminent la résistance de rayonnement d'une antenne?;La localisation de l'antenne par rapport à l'environnement immédiat et le rapport longueur/diamètre des conducteurs;La longueur de la ligne de transmission et la hauteur de l'antenne;Le nombre de taches solaires et la période de la journée;C'est une constante physique qui est la même pour toutes les antennes
A-007-008-004;What is the term for the ratio of the radiation resistance of an antenna to the total resistance of the system?;Antenna efficiency;Beamwidth;Effective Radiated Power;Radiation conversion loss;Quel terme utilise-t-on pour désigner le rapport entre la résistance de rayonnement d'une antenne et la résistance totale du système?;L'efficacité de l'antenne;La largeur du faisceau de rayonnement;La puissance apparente rayonnée;La perte par conversion de rayonnement
A-007-008-005;What is included in the total resistance of an antenna system?;Radiation resistance plus ohmic resistance;Radiation resistance plus transmission resistance;Transmission line resistance plus radiation resistance;Radiation resistance plus space impedance;Que représente la résistance totale du système d'antenne?;La résistance de rayonnement plus la résistance ohmique;La résistance de rayonnement plus la résistance de transmission;La résistance de la ligne de transmission plus la résistance de rayonnement;La résistance de rayonnement plus l'impédance spatiale
A-007-008-006;How can the approximate beamwidth of a beam antenna be determined?;Note the two points where the signal strength is down 3 dB from the maximum signal point and compute the angular difference;Draw two imaginary lines through the ends of the elements and measure the angle between the lines;Measure the ratio of the signal strengths of the radiated power lobes from the front and side of the antenna;Measure the ratio of the signal strengths of the radiated power lobes from the front and rear of the antenna;Comment peut-on déterminer la largeur approximative du faisceau d'une antenne directionnelle?;Calculer la différence angulaire entre les deux azimuts où le rayonnement du lobe principal a chuté de 3 dB sous son maximum;Dessiner deux lignes imaginaires aux extrémités des éléments puis mesurer l'angle formé par ces lignes;Mesurer le rapport des puissances rayonnées dans le lobe avant et les lobes latéraux;Mesurer le rapport des puissances rayonnées dans le lobe avant et le lobe arrière
A-007-008-007;How is antenna percent efficiency calculated?;(radiation resistance / total resistance) x 100;(radiation resistance / transmission resistance) x 100;(total resistance / radiation resistance) x 100;(effective radiated power / transmitter output) x 100;Comment calculer l'efficacité d'une antenne?;(la résistance de rayonnement / la résistance totale) x 100;(la résistance de rayonnement / la résistance de transmission) x 100;(la résistance totale / la résistance de rayonnement) x 100;(la puissance effective rayonnée / la puissance de sortie de l'émetteur) x 100
A-007-008-008;What is the term used for an equivalent resistance which would dissipate the same amount of energy as that radiated from an antenna?;Radiation resistance;j factor;Antenna resistance;K factor;Quel terme est employé pour déterminer la résistance équivalente qui dissiperait la même énergie que celle rayonnée par l'antenne?;La résistance de rayonnement;Le facteur "j";La résistance d'antenne;Le facteur "K"
A-007-008-009;Antenna beamwidth is the angular distance between:;the points on the major lobe at the half-power points;the maximum lobe spread points on the major lobe;the 6 dB power points on the major lobe;the 3 dB power points on the first minor lobe;La largeur du faisceau produit par le rayonnement d'une antenne représente la distance angulaire :;jusqu'aux points du lobe majeur situés à la demi-puissance;jusqu'aux points les plus écartés du lobe principal;jusqu'aux points mesurant 6 dB sur le lobe majeur;jusqu'aux points mesurant 3 dB sur le premier lobe mineur
A-007-008-010;If the ohmic resistance of a half-wave dipole is 2 ohms, and the radiation resistance is 72 ohms, what is the antenna efficiency?;97.3%;74%;72%;100%;Si la résistance ohmique d'un dipôle demi-onde est de 2 ohms et que la résistance de rayonnement est de 72 ohms, quelle est l'efficacité de l'antenne?;97,3 %;74 %;72 %;100 %
A-007-008-011;If the ohmic resistance of a miniloop antenna is 2 milliohms and the radiation resistance is 50 milliohms, what is the antenna efficiency?;96.15%;52%;25%;50%;Si la résistance ohmique d'une boucle compacte ("miniloop") est de 2 milliohms et que la résistance de rayonnement est de 50 milliohms, quelle est l'efficacité de l'antenne?;96,15 %;52 %;25 %;50 %
A-007-009-001;Waveguide is typically used:;at frequencies above 3000 MHz;at frequencies above 2 MHz;at frequencies below 150 MHz;at frequencies below 1500 MHz;Le guide d'onde est généralement utilisé :;aux fréquences supérieures à 3 000 MHz;aux fréquences supérieures à 2 MHz;aux fréquences inférieures à 150 MHz;aux fréquences inférieures à 1 500 MHz
A-007-009-002;Which of the following is not correct? Waveguide is an efficient transmission medium because it features:;low hysteresis loss;low radiation loss;low dielectric loss;low copper loss;Lequel des énoncés suivants est faux? Le guide d'onde est une ligne de transmission très efficace parce qu'il offre :;le moins de perte par hystérésis;le moins de perte par rayonnement;le moins de perte dans le diélectrique;le moins de perte dans le cuivre
A-007-009-003;Which of the following is an advantage of waveguide as a transmission line?;Low loss;Frequency sensitive based on dimensions;Expensive;Heavy and difficult to install;Lequel des énoncés suivants représente un avantage du guide d'onde comme ligne de transmission?;Faible perte;Réponse en fréquence dépendante de ses dimensions;Coûteux;Lourd et difficile à installer
A-007-009-004;For rectangular waveguide to transfer energy, the cross-section should be at least:;one-half wavelength;three-eighths wavelength;one-eighth wavelength;one-quarter wavelength;Pour bien transférer l'énergie avec un guide d'onde rectangulaire, sa section transversale doit être d'au moins :;une demi-longueur d'onde;trois huitièmes de longueur d'onde;un huitième de longueur d'onde;un quart de longueur d'onde
A-007-009-005;Which of the following statements about waveguide IS NOT correct?;Waveguide has high loss at high frequencies, but low loss below cutoff frequency;In the transverse electric mode, a component of the magnetic field is in the direction of propagation;In the transverse magnetic mode, a component of the electric field is in the direction of propagation;Waveguide has low loss at high frequencies, but high loss below cutoff frequency;Concernant le guide d'onde, lequel des énoncés suivants est faux?;Le guide d'onde a des pertes importantes sur des fréquences élevées, mais peu de pertes sous la fréquence de coupure;En mode électrique transversal, une composante du champ magnétique est placée dans la direction de la propagation;En mode magnétique transversal, une composante du champ électrique est placée dans la direction de la propagation;Le guide d'onde a peu de pertes sur des fréquences élevées, mais des pertes importantes sous la fréquence de coupure
A-007-009-006;Which of the following is a major advantage of waveguide over coaxial cable for use at microwave frequencies?;Very low losses;Frequency response from 1.8 MHz to 24GHz;Easy to install;Inexpensive to install;Parmi les expressions suivantes, laquelle décrit le mieux la supériorité du guide d'onde par rapport au câble coaxial lorsqu'il est employé aux fréquences micro-ondes?;Très peu de pertes;Bande passante de 1,8 MHz à 24 GHz;Installation facile;Installation peu coûteuse
A-007-009-007;What is printed circuit transmission line called?;Microstripline;Dielectric substrate;Dielectric imprinting;Ground plane;Comment appelle-t-on une ligne de transmission fabriquée sous forme de circuit imprimé?;Ligne microruban ("microstrip line");Substrat diélectrique;Empreinte diélectrique;Plan de sol ("ground plane")
A-007-009-008;Compared with coaxial cable, microstripline:;has poorer shielding;has superior shielding;must have much lower characteristic impedance;must have much higher characteristic impedance;Comparé au câble coaxial, la ligne microruban ("microstrip line") :;est moins bien blindé;a un blindage supérieur;doit avoir une impédance caractéristique plus basse;doit avoir une impédance caractéristique plus haute
A-007-009-009;A section of waveguide:;operates like a high-pass filter;operates like a low-pass filter;operates like a band-stop filter;is lightweight and easy to install;Une section de guide d'onde :;agit comme un filtre passe-haut;agit comme un filtre passe-bas;agit comme un filtre coupe-bande;est légère et facile à installer
A-007-009-010;Stripline is a:;printed circuit transmission line;small semiconductor family;high power microwave antenna;family of fluids for removing coatings from small parts;Une ligne à ruban ("stripline") :;est une ligne de transmission fabriquée sous forme de circuit imprimé;est une petite famille de semi-conducteurs;est une antenne micro-ondes à grande puissance;est une sorte de liquide pour enlever des revêtements sur de petits objets
A-007-009-011;What precautions should you take before beginning repairs on a microwave feed horn or waveguide?;Be sure the transmitter is turned off and the power source is disconnected;Be sure the weather is dry and sunny;Be sure propagation conditions are unfavourable for tropospheric ducting;Be sure to wear tight-fitting clothes and gloves to protect your body and hands from sharp edges;Quelles précautions devez-vous prendre avant de commencer à réparer un cornet à micro-ondes ou un guide d'onde?;S'assurer de mettre l'émetteur hors tension et de le débrancher de la ligne électrique;S'assurer qu'il fait beau;S'assurer que les conditions de propagation ne sont pas favorables à la conduction troposphérique;S'assurer de porter des vêtements bien ajustés et des gants pour protéger le corps et les mains
